STOCK ID|CANTIDAD|PRECIO|IMPUESTO|FECHA|DESCRIPCION AGRUPADOR|ID AGRUPADOR|UNIDAD EMPAQUE|PRECIO UNIDAD EMPAQUE
|7|0|0|2015-09-10|CLORHIDRATO DE METILFENIDATO 10MG C/30 COMP. (III)|592|0|0
|6|0|0|2015-09-10|CLORHIDRATO DE METILFENIDATO 30MG C/30 CAP. (II)|998|0|0
|17|0|0|2015-09-10|CLORHIDRATO DE METILFENIDATO 36MG C/30TAB. (II)|228|0|0
|302|0|0|2015-09-10|CLORHIDRATO DE PAROXETINA 20MG C/10 TAB.|1877|0|0
|84|0|0|2015-09-10|CLORHIDRATO DE TRAMADOL 100MG C/10 TAB.|855|0|0
|71|0|0|2015-09-10|CLORHIDRATO DE TRAMADOL 100MG/ML GOTAS C/10ML|1880|0|0
|97|0|0|2015-09-10|CLORHIDRATO DE TRAMADOL 50MG C/10 CAP.|976|0|0
|12|0|0|2015-09-10|CLORMADINONA + MESTRANOL 2MG/80MCG C/21 TAB.|764|0|0
|6|0|0|2015-09-10|CLORMADINONA 2MG C/20 TAB.|493|0|0
|19|0|0|2015-09-10|CLORMADINONA 5MG C/20 TAB.|494|0|0
|2|0|0|2015-09-10|CLORPROMAZINA 25MG C/50 COMP. (III)|522|0|0
|89|0|0|2015-09-10|CLORTALIDONA 50MG C/20 TAB.|182|0|0
|6|0|0|2015-09-10|CLORURO DE SODIO 10% SOL OFT. FCO. 10ML|415|0|0
|8|0|0|2015-09-10|CLORURO DE SODIO 5% SOL OFT. FCO. 10ML|416|0|0
|6|0|0|2015-09-10|CLORURO DE SODIO 5% UNG?ENTO OFT. TUBO 5GR|417|0|0
|106|0|0|2015-09-10|CLORURO DE SODIO Y GLICEROL 30ML ADTO. SOL. FCO C/30ML|2754|0|0
|89|0|0|2015-09-10|CLOTRIMAZOL 10MG TUBO CREMA C/20GR|1505|0|0
|95|0|0|2015-09-10|CLOTRIMAZOL 20GR CREMA C/3 APLICADORES|334|0|0
|2|0|0|2015-09-10|CLOZAPINA 100MG C/30 TAB. (II)|606|0|0
|16|0|0|2015-09-10|COLCHICINA 1MG C/20 TAB.|185|0|0
|6|0|0|2015-09-10|COMPLEJO B SOL. INY. FCO. C/10ML|189|0|0
|10|0|0|2015-09-10|DANAZOL 100MG C/50 TAB.|2810|0|0
|314|0|0|2015-09-10|DAPAGLIFOZINA 10MG C/14 TAB.|2952|0|0
|2|0|0|2015-09-10|DAPSONA 100MG C/50 TAB.|962|0|0
|13|0|0|2015-09-10|DARBEPOETINA ALFA 500MCG JER. PRELLENADA|2985|0|0
|1|0|0|2015-09-10|DARUNAVIR 400MG C/60 TAB.|2986|0|0
|16|0|0|2015-09-10|DECANOATO DE FLUPENTIXOL 20MG C/1 AMP. DE 2ML (III)|580|0|0
|1|0|0|2015-09-10|DEFERASIROX 500MG C/28 COMP.|2921|0|0
|294|0|0|2015-09-10|DEFLAZACORT 6MG C/20 TAB.|2811|0|0
|145|0|0|2015-09-10|DESLORATADINA 50MG JARABE FCO C/120ML|69|0|0
|335|0|0|2015-09-10|DESLORATADINA 5MG C/30 TAB.|45|0|0
|2|0|0|2015-09-10|DESMOPRESINA 10MCG C/25 DOSIS POR FCO SPRAY|2813|0|0
|90|0|0|2015-09-10|DESOGESTREL 0.075MG C/28 TAB.|2225|0|0
|10|0|0|2015-09-10|DESVENLAFAXINA 100ML C/28 COMP.|2899|0|0
|31|0|0|2015-09-10|DESVENLAFAXINA 50MG C/28 COMP.|2905|0|0
|28|0|0|2015-09-10|DEXAMETASONA + FENILEFRINA SOL. OFT. FCO. C/10ML|1506|0|0
|26|0|0|2015-09-10|DEXAMETASONA + TOBRAMICINA UNGUENTO OFT. TUBO C/3.5GR|2676|0|0
|8|0|0|2015-09-10|DEXAMETASONA 0.5MG C/30 TAB.|2777|0|0
|63|0|0|2015-09-10|DEXAMETASONA 1MG/ML SOL. OFT. GOTAS C/5ML|2814|0|0
|135|0|0|2015-09-10|DEXKETOPROFENO TROMETAMOL 25MG C/10 TAB.|1241|0|0
|681|0|0|2015-09-10|DEXLANSOPRAZOL 30MG C/14 CAP.|2953|0|0
|9|0|0|2015-09-10|DEXPANTENOL 5% TUBO GEL C/10GR|1006|0|0
|4|0|0|2015-09-10|DEXTRANOMERO FCO. C/25GR|1507|0|0
|69|0|0|2015-09-10|DEXTROMETORFANO + GUAIFENESINA + FENILEF PED. C/30ML|2815|0|0
