,,,,FORMATO DE REQUISICI…N,,,,
,35,29.5,16,18/04/2016,JALEA LUBRICANTE 135 GR.,,,"$1,032.50"
,23,215.34,16,18/04/2016,JERINGA 10ML. 22X32 C/100 TERUMO,,,"$4,952.82"
,5,352,16,18/04/2016,JERINGA 1ML.27X13 C/100 TERUMO,,,"$1,760.00"
,6,235,16,18/04/2016,JERINGA 3ML 21X32 C/100 TERUMO,,,
,17,235,16,18/04/2016,JERINGA 3ML. 22X32 C/100 TERUMO,,,
,8,235,16,18/04/2016,JERINGA 3ML. 23X25 C/100 TERUMO,,,
,20,9.6,16,18/04/2016,JERINGA 50cc. P/IRRIGACION,,,
,5,72,16,18/04/2016,JERINGA ASEPTO DE 60 ML. DESECHABLE,,,
,8,548,16,18/04/2016,LANCETAS ONE TOUCH C/25,,,
,10,36.12,16,18/04/2016,MASCARILLA P/OXIGENO C/TUBO 180CMS,,,
,10,36.12,16,18/04/2016,MASCARILLA CON RESERVORIO ADULTO,,,
,10,36.12,16,18/04/2016,MASCARILLA CON RESERVORIO INFANTIL,,,
,5,36.12,16,18/04/2016,MASCARILLA PARA OXIGENO PEDIATRICA,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, $-   
,,,,,,,,"$117,673.32"
,,,,,,,,"$18,827.73"
,,,,,,,,"$136,501.05"
