FORMATO DE REQUISICION,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,08-12.2016,,,
,20,0,0,08/12/2016,BROMURO DE IPRATROPIO 20MCG SUSP. AEROSOL C/200 DOSIS EN 10ML,62,,,
,200,0,0,08/12/2016,ETORICOXIB 90MG C/14 COMP.,965,,,
,15,0,0,08/12/2016,ATOMOXETINA 25MG C/14 CAP.,794,,,
,10,0,0,08/12/2016,ATOMOXETINA 18MG C/14 CAP.,804,,,
,25,0,0,08/12/2016,ISOTRETINOINA 10MG C/30 CAP.,2412,,,
,30,0,0,08/12/2016,BUDESONIDA + FORMOTEROL 320MG/9MCG C/60 DOSIS (POLVO),802,,,
,20,0,0,08/12/2016,CARVEDILOL 25MG C/14 TAB.,2594,,,
,40,0,0,08/12/2016,L-TARTRATO DE TOLTERODINA 2MG C/28 TAB.,2863,,,
,45,0,0,08/12/2016,PIMECROLIMUS 1% CREMA C/30GR,348,,,
,35,0,0,08/12/2016,MOXIFLOXACINO 400MG C/7 TAB.,86,,,
,50,0,0,08/12/2016,CLEBOPRIDA + SIMETICONA C/45 CAP.,2950,,,
,30,0,0,08/12/2016,VALPROATO SEMISODICO ER 500MG LIB. PROL. C/30 TAB.,2193,,,
,30,0,0,08/12/2016,TRAVOPROST 40MCG SOL. OFT. FCO. C/2.5ML,830,,,
,20,0,0,08/12/2016,FORMOTEROL + BECLOMETASONA FCO. SPRAY C/120 DOSIS,3018,,,
,60,0,0,08/12/2016,BRIMONIDINA + TIMOLOL + DORSOLAMINA 20/5/2ML SOL. OFT. C/5ML,1546,,,
,80,0,0,08/12/2016,CEFIXIMA 100MG/5ML SUSP. ORAL C/100ML,1135,,,
,40,0,0,08/12/2016,AZILSARTAN MEDOXOMILO + CLORTALIDONA 40/12.5 C/28 TAB.,2944,,,
,80,0,0,08/12/2016,EBASTINA 20MG C/30 OBLEAS,1053,,,
,70,0,0,08/12/2016,IPRATROPIO + SALBUTAMOL 20MCG/100MCG SUSP. AEROSOL FCO. C/120 DOSIS,186,,,
,20,0,0,08/12/2016,CLORHIDRATO DE BETAXOLOL 2.5GR SUSP OFT.  C/5ML,121,,,
,20,0,0,08/12/2016,ESTRADIOL + DROSPIRENONA 1MG/2MG C/28 COMPS. RECUB.,1375,,,
,70,0,0,08/12/2016,PRASUGREL 10MG C/14 TAB.,2900,,,
,70,0,0,08/12/2016,NEOMICINA + POLIMIXINA B + DEXAMETASONA SUSP. OFT. FCO. C/5ML,527,,,
,30,0,0,08/12/2016,DORZOLAMIDA + TIMOLOL GOTAS OFT. FCO. C/5ML,251,,,
,100,0,0,08/12/2016,BRIMONIDINA + TIMOLOL 0.2%/0.5% SOL. OFT. FCO. C/5ML,225,,,
,15,0,0,08/12/2016,CIPROFLOXACINO + DEXAMETASONA 3MG/1MG/ML FCO. C/5ML,2697,,,
,20,0,0,08/12/2016,BIMATOPROST GOTAS 0.03% SOL. OFT. C/3ML,1058,,,
,25,0,0,08/12/2016,VALPROATO DE MAGNESIO 600MG C/30 TAB.,38,,,
,15,0,0,08/12/2016,AZILSARTAN MEDOXOMILO 40MG C/28 TAB.,2946,,,
,20,0,0,08/12/2016,KETANSERINA + BENZOCAINA 2% TUBO GEL C/78GR,798,,,
,400,0,0,08/12/2016,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",2576,,,
,40,0,0,08/12/2016,BUDESONIDA + FORMOTEROL 160MG/4.5MCG SPRAY,782,,,
,50,0,0,08/12/2016,BETAHISTINA 24MG C/30 TAB.,2931,,,
,60,0,0,08/12/2016,CABERGOLINA 0.5MG C/2 TAB.,282,,,
,3,0,0,08/12/2016,TICAGRELOR 90MG C/30 TAB.,3016,,,
,20,0,0,08/12/2016,CLINDAMICINA + PEROXIDO DE BENZOILO 5GR/100GR EN 100GR TUBO GEL C/30GR,449,,,
,50,0,0,08/12/2016,PRUCALOPRIDA 2MG C/14 COMP.,2930,,,
,30,0,0,08/12/2016,NITROFURANTOINA 50MG C/40 CAP.,523,,,
,80,0,0,08/12/2016,TRIAMCINOLONA 56.10MG SUSP. FCO C/16.5ML,610,,,
,100,0,0,08/12/2016,ETORICOXIB 120MG C/7 COMP.,941,,,
,150,0,0,08/12/2016,DAPAGLIFOZINA 10MG C/14 TAB.,2952,,,
,100,0,0,08/12/2016,INSULINA LISPRO + PROTAMINA 2X3ML C/300 UNIDADES,420,,,
,40,0,0,08/12/2016,RISPERIDONA 1MG C/20 TAB.,1024,,,
,25,0,0,08/12/2016,EPINASTINA 0.05% SOL. FCO. GOTERO C/5ML,2427,,,
,15,0,0,08/12/2016,TIZANIDINA 6MG LIB. PROL. C/10 CAP.,2979,,,
,15,0,0,08/12/2016,OXCARBAZEPINA 60MG/1ML SUSP. C/100ML,1033,,,
,50,0,0,08/12/2016,BISOPROLOL 5MG C/30 GRAGEAS,1160,,,
,50,0,0,08/12/2016,OXIMETAZOLINA + ALCOHOL POLIVINILICO 0.25MG SOL. OFT. FCO. C/10ML,659,,,
,100,0,0,08/12/2016,LAMOTRIGINA 50MG /28 TAB.,1774,,,
,100,0,0,08/12/2016,TELMISARTAN 80MG C/ 28 TAB.,2575,,,
,15,0,0,08/12/2016,KETANSERINA + METRONIDAZOL + MICONAZOL 36MG C/10 OVULOS,2245,,,
,20,0,0,08/12/2016,PARACETAMOL + CODEINA 500MG/30MG C/30 CAP. (II),596,,,
,28,0,0,08/12/2016,METRONIDAZOL .75% TUBO GEL C/30GR,567,,,
,30,0,0,08/12/2016,ESOMEPRAZOL 10MG C/28 SOBRES GRANULADOS,2281,,,
,100,0,0,08/12/2016,METFORMINA + VILDAGLIPTINA 50MG/500MG C/30 COMP. RECUBIERTOS,1968,,,
,15,0,0,08/12/2016,LIOFILIZADO ESTANDARIZADO DE LISADOS BACTERIANOS CAPSULAS ADULTOS 7MG C/10 CAP.,1795,,,
,15,0,0,08/12/2016,ADAPALENE 1% CREMA C/30GR,1552,,,
,150,0,0,08/12/2016,SAXAGLIPITINA + METFORMINA 2.5MG/1000MG C/28 TAB.,2926,,,
,60,0,0,08/12/2016,MESALAZINA 500MG C/40 GRAGEAS,1533,,,
,20,0,0,08/12/2016,CLOBETASOL 0.044GR TUBO C/40GR,1238,,,
,20,0,0,08/12/2016,RESINA DE COLESTIRAMINA 9GR C/10 SOBRES,722,,,
,28,0,0,08/12/2016,INDOMETACINA 50MG C/28 CAP.,525,,,
,20,0,0,08/12/2016,HIDROCORTISONA 1GR/100ML FCO. LOCION C/120ML,624,,,
,200,0,0,08/12/2016,CARBOXIMETILCELULOSA SODICA 0.5% SOL. OFT. GOTAS C/15ML,754,,,
,20,0,0,08/12/2016,LIOFILIZADO ESTANDARIZADO DE LISADO BACTERIANOS INFANTIL 3.5MGS. C/10 CAP.,135,,,
,25,0,0,08/12/2016,FLUCONAZOL+ TINIDAZOL 37.5MG/500MG C/4 TAB.,1262,,,
,60,0,0,08/12/2016,CARBAMAZEPINA 400MG C/20 GRAGEAS,815,,,
,10,0,0,08/12/2016,PIPERIDOLATO 100MG C/30 GRAGEAS,258,,,
,70,0,0,08/12/2016,CLARITROMICINA + AMBROXOL 500MG/45MG C/10 TAB.,2731,,,
,3,0,0,08/12/2016,DICLOFENACO + CODEINA 50MG/50MG C/20 TAB.,2960,,,
,70,0,0,08/12/2016,ACIDO TIAPROFENICO 300MG C/30 COMP.,772,,,
,20,0,0,08/12/2016,PROGESTERONA 100MG C/30 PERLAS,1492,,,
,35,0,0,08/12/2016,MONTELUKAST SODICO 4MG C/10 TAB.,1143,,,
,80,0,0,08/12/2016,POLIETILENGLICOL+ PROPILENGLICOL GOTAS OFT. FCO. C/15ML,996,,,
,200,0,0,08/12/2016,MOMETASONA 0.05% SPRAY NASAL PED. C/10ML Y 60 NEBUL.,735,,,
,40,0,0,08/12/2016,TOBRAMICINA 3MG/1ML SOL. OFT. FCO. C/5ML,2677,,,
,10,0,0,08/12/2016,POLIETILENGLICOL + BICAR. SODICO + CL SODIO + CL DE POTASIO POLVO 109.6GR C/4 SOBRES,623,,,
,60,0,0,08/12/2016,ALMOTRIPTAN 12.5MG C/2 COMP.,2942,,,
,35,0,0,08/12/2016,NIMODIPINO 30MG C/30 TAB.,470,,,
,20,0,0,08/12/2016,SULFATO DE AMANTADINA 100MG C/30 TAB.,703,,,
,30,0,0,08/12/2016,"PANCREATINA + LIPASA + AMILASA + PROTEASA 10,000UI C/50 CAP.",193,,,
,50,0,0,08/12/2016,NEOMICINA + POLIMIXINA B + DEXAMETASONA UNGUENTO OFTALMICO TUBO C/3.5GR,526,,,
,27,0,0,08/12/2016,BETAMETASONA LOCION CAPILAR FCO. C/50ML,120,,,
,50,0,0,08/12/2016,TELMISARTAN 40MG C/28 TAB.,968,,,
,20,0,0,08/12/2016,MOMETASONA 1% UNGUENTO TOPICO TUBO C/30GR,319,,,
,35,0,0,08/12/2016,ENANTATO DE PRASTERONA + VALERATO DE ESTRADIOL 200MG/4MG C/1 JER. PRELLENADA DE 1ML,138,,,
,120,0,0,08/12/2016,FEXOFENADINA 6MG/ML SUSP. FCO. C/150ML,2553,,,
,15,0,0,08/12/2016,CLONIXITATO DE LISINA + CICLOBENZAPRINA 125/5 C/20 TAB.,2307,,,
,17,0,0,08/12/2016,VALPROATO DE MAGNESIO 500MG C/20 TAB.,37,,,
,15,0,0,08/12/2016,CLEBOPRIDA 500MG C/30 COMP.,2914,,,
,100,0,0,08/12/2016,TELMISARTAN + HIDROCLOROTIAZIDA 80MG/12.5MG C/28 TAB.,561,,,
,60,0,0,08/12/2016,SULFASALAZINA 500MG C/60 GRAGEAS,47,,,
,20,0,0,08/12/2016,AZATIOPRINA 50MG C/50 TAB.,51,,,
,80,0,0,08/12/2016,NORELGESTROMINA + ETINILESTRADIOL C/3 PARCHES TRASDERMICO,1922,,,
,60,0,0,08/12/2016,TROXERUTINA + CUMARINA 180MG/30MG C/30 GRAGEAS,1075,,,
,25,0,0,08/12/2016,ETINILESTRADIOL + DROSPIRENONA 3MG 24/4 C/28 COMP.,2741,,,
,25,0,0,08/12/2016,INSULINA HUMANA 70/30 CARTUCHO C/300U C/2X3ML,427,,,
,35,0,0,08/12/2016,MOSAPRIDA 5MG C/30 COMP.,1656,,,
,50,0,0,08/12/2016,INSULINA HUMANA NPH CARTUCHO 100UI C/2X3ML,421,,,
,100,0,0,08/12/2016,BISOPROLOL 1.25MG C/30 GRAGEAS,252,,,
,50,0,0,08/12/2016,OXIBUTININA 5MG C/30 TAB.,615,,,
,40,0,0,08/12/2016,MINOCICLINA 100MG MICROGRANULOS C/10 CAP. ,552,,,
,45,0,0,08/12/2016,HIDROXICINA 10MG C/30 TAB.,102,,,
,15,0,0,08/12/2016,TRINITRATO DE GLICERILO 36MG x PARCHE (10MG/24 hrs C/7),2144,,,
,15,0,0,08/12/2016,L-ORNITINA + L-ASPARTATO 3GR C/10 SOBRES GRANULADOS,432,,,
,20,0,0,08/12/2016,CLOBETASOL 0.050% TUBO C/30GR,227,,,
,350,0,0,08/12/2016,DEXLANSOPRAZOL 30MG C/14 CAP.,2953,,,
,10,0,0,08/12/2016,CLINDAMICINA + KETOCONAZOL 800/100MG C/3 TAB. VAGINALES,1029,,,
,2,0,0,08/12/2016,CLOBAZAM 10MG C/30 TAB.,581,,,
,50,0,0,08/12/2016,METRONIDAZOL + MICONAZOL 750MG/200MG C/7 OVULOS VAGINALES,1263,,,
,25,0,0,08/12/2016,HIDROXOCABALAMINA TIAMINA PIRIDOXINA C/5 AMP. Y JER.,2861,,,
,250,0,0,08/12/2016,DIOSMINA + HESPERIDINA 500MG C/20 TAB.,296,,,
,100,0,0,08/12/2016,FEXOFENADINA + FENILEFRINA 60MG/25MG C/10 TAB.,2579,,,
,80,0,0,08/12/2016,ESPIRONOLACTONA + FUROSEMIDA 50MG/20MG C/16 CAP.,483,,,
,3,0,0,08/12/2016,FENOBARBITAL 100MG C/40 TAB. (II),579,,,
,150,0,0,08/12/2016,NUTRICION COMPLETA Y BALANCEADA CON FRUCTOOLISACARIDOS CUALQUIER SABOR LATA EN POLVO C/400GR,2557,,,
,150,0,0,08/12/2016,LACTOBACILLUS CASEI VARIEDAD RHAMNOSUS 250MG C/12 CAP.,510,,,
,25,0,0,08/12/2016,ETAMSILATO 500MG C/20 COMP.,272,,,
,150,0,0,08/12/2016,CICLESONIDA 50MCG SPRAY NASAL C/120 DOSIS,3009,,,
,40,0,0,08/12/2016,LORAZEPAM 2MG C/40 TAB. (II),575,,,
,17,0,0,08/12/2016,ISOCONAZOL TUBO CREMA C/40GR Y 7 APLICADORES,433,,,
,65,0,0,08/12/2016,TIZANIDINA 2MG C/20 TAB.,787,,,
,20,0,0,08/12/2016,TRITICUM VULGARE FENOXIETANOL CREMA UNGUENTO C/30GR,1258,,,
,45,0,0,08/12/2016,ACIDO VALPROICO JARABE 250MG C/120ML,290,,,
,100,0,0,08/12/2016,TRINITRATO DE GLICERILO 18MG x PARCHE (5MG/24 Hrs C/7),2143,,,
,100,0,0,08/12/2016,VITAMINAS + HIERRO C/36 TAB.,111,,,
,150,0,0,08/12/2016,VITAMINAS PRENATALES C/28 CAP.,1754,,,
,100,0,0,08/12/2016,ACIDO URSODESOXICOLICO 250MG C/50 CAP.,861,,,
,70,0,0,08/12/2016,TOPIRAMATO 25MG C/28 TAB.,2578,,,
,10,0,0,08/12/2016,ERDOSTEINA 300MG C/20 CAP.,1820,,,
,50,0,0,08/12/2016,ITOPRIDA 50MG C/30 TAB.,2747,,,
,17,0,0,08/12/2016,LEVOCETIRIZINA SOL. INFANTIL C/150ML,2735,,,
,70,0,0,08/12/2016,SALBUTAMOL 5MG/ML SOL. NEBUL. FCO. C/10ML,866,,,
,80,0,0,08/12/2016,POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. ORAL FCO. SPRAY C/20ML,21,,,
,50,0,0,08/12/2016,CIPROFLOXACINO + HIDROCORTISONA + LIDOCAINA SOL. OTICA GOTAS,2789,,,
,80,0,0,08/12/2016,DEXKETOPROFENO TROMETAMOL 25MG C/10 TAB.,1241,,,
,70,0,0,08/12/2016,ERGOTAMINA + ACIDO ACETILSALICILICO + CAFEINA 1MG/400MG/50MG C/36 TAB. (II),773,,,
,15,0,0,08/12/2016,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,,,
,35,0,0,08/12/2016,CLINDAMICINA SOL. TOPICA FCO C/30ML,261,,,
,120,0,0,08/12/2016,5-MONONITRATO DE ISOSORBIDA 60MG C/20 TAB.,446,,,
,180,0,0,08/12/2016,PARGEVERINA + CLONIXINATO DE LISINA 10MG/125MG C/20  COMP.,694,,,
,15,0,0,08/12/2016,DILTIAZEM 90MG C/20 TAB.,28,,,
,60,0,0,08/12/2016,LEVOTIROXINA SODICA + LIOTIRONINA 100MCG/20MCG C/50 TAB.,622,,,
,25,0,0,08/12/2016,FLUNARIZINA 10MG C/20 TAB.,607,,,
,250,0,0,08/12/2016,LEVOTIROXINA SODICA 100MCG C/50 TAB.,502,,,
,20,0,0,08/12/2016,DILTIAZEM 60MG C/30 COMPS.,82,,,
,50,0,0,08/12/2016,FENTERMINA 15MG C/30 TAB.,2964,,,
,100,0,0,08/12/2016,METFORMINA 750MG LIB. PROL. C/30 TAB.,2711,,,
,50,0,0,08/12/2016,NEOMICINA + POLIMIXINA B + BACITRACINA UNGUENTO DERMICO TUBO C/30GR,2592,,,
,35,0,0,08/12/2016,BUDESONIDA 0.250MG/ML NEBUL. C/5 AMP. SOBRE 2ML,719,,,
,70,0,0,08/12/2016,KETOROLACO + TRAMADOL 10MG/25MG SUBLINGUAL C/4 TAB.,2656,,,
,17,0,0,08/12/2016,NIFEDIPINO 20MG LIB. PROL. C/28 COMP.,8,,,
,35,0,0,08/12/2016,PEROXIDO DE BENZOILO 5% TUBO GEL C/60GR,116,,,
,20,0,0,08/12/2016,SILIMARINA 70MG C/20 COMP.,2151,,,
,50,0,0,08/12/2016,CETIRIZINA SOL 10MG/ML C/10ML,871,,,
,50,0,0,08/12/2016,DESOGESTREL 0.075MG C/28 TAB.,2225,,,
,150,0,0,08/12/2016,DICLOFENACO POTASICO 25MG C/20 GRAGEAS,165,,,
,140,0,0,08/12/2016,METFORMINA 1GR C/30 TAB.,2872,,,
,50,0,0,08/12/2016,MEDIAS ELASTICAS MED. COMP DEBAJO DE LA RODILLAS MATERIAL DE CURACION (MEDIANA),1893,,,
,60,0,0,08/12/2016,BUDESONIDA 0.125MG/ML NEBUL. C/5 AMP. SOBRE 2ML,1008,,,
,10,0,0,08/12/2016,SOL. ESTERILIZANTE + ANTISEPTICA DE SUPEROXIDACION FCO. C/240ML,1310,,,
,400,0,0,08/12/2016,AMOXICILINA + ACIDO CLAVULANICO 600MG SUSP. C/50ML,1003,,,
,100,0,0,08/12/2016,MECLIZINA + PIRIDOXINA 25MG/50MG C/25 TAB.,2635,,,
,35,0,0,08/12/2016,BETAMETASONA + GENTAMICINA TUBO CREMA C/30GR,276,,,
,35,0,0,08/12/2016,VALPROATO DE MAGNESIO 400MG C/20 TAB.,71,,,
,30,0,0,08/12/2016,LEVOCETIRIZINA GOTAS C/10ML,2736,,,
,170,0,0,08/12/2016,BETAMETASONA + FOSFATO SODICO 2.71/3MG C/1 JER. PRELLENADA,208,,,
,45,0,0,08/12/2016,AMINOFENAZONA + BUFENINA + DIFENILPIRALI SOL. GOTAS C/25ML,362,,,
,35,0,0,08/12/2016,BROMURO DE PIRIDOSTIGMINA 60MG C/20 TAB.,531,,,
,200,0,0,08/12/2016,POLIETILENGLICOL FCO. POLVO C/255GR,256,,,
,240,0,0,08/12/2016,LEVOTIROXINA SODICA 75MCG C/50 TAB.,938,,,
,80,0,0,08/12/2016,MECLIZINA + PIRIDOXINA JARABE FCO. C/120ML,124,,,
,200,0,0,08/12/2016,DIMETICONA + PANCREATINA + EXTRACTO SECO BILIS DE BUEY CELULOSA DEL ASPERGILLUS NIGER CON CAPA E C/50 GRAGEAS,327,,,
,70,0,0,08/12/2016,CLONAZEPAM 2MG C/30 COMP. (II),2410,,,
,50,0,0,08/12/2016,PLANTAGO OVATA + SENNA ANGUSTIFOLIA 2.71 GR/0.62 GR FCO. GRANULADO C/100GR,11,,,
,60,0,0,08/12/2016,HIDROXIPROPILMETILCELULOSA + DEXTRAN UNGUENTO TUBO C/3.5GR,612,,,
,15,0,0,08/12/2016,PIROXICAM 10MG C/20 CAP.,1079,,,
,800,0,0,08/12/2016,PARACETAMOL 1GR C/20 TAB.,810,,,
,20,0,0,08/12/2016,CLORHIDRATO DE BIPERIDENO 2MG C/30 TAB.,2798,,,
,50,0,0,08/12/2016,CLORHIDRATO DE IMIPRAMINA 25MG C/20 TAB.,2367,,,
,200,0,0,08/12/2016,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,2786,,,
,2,0,0,08/12/2016,CLORHIDRATO DE METILFENIDATO 10MG C/30 COMP. (III),592,,,
,20,0,0,08/12/2016,EMOLIENTE Y HUMECTANTE CON UREA AL 10% LOCION FCO. C/120ML,648,,,
,20,0,0,08/12/2016,ALPRAZOLAM 0.50MG C/30 TAB. (II),2779,,,
,100,0,0,08/12/2016,DIMETICONA + GUAIAZULENE C/14 SOBRES,2689,,,
,20,0,0,08/12/2016,FLOROGLUCINOL + TRIMETILFLOROGLUCINOL 80MG/80MG C/20 CAP.,2840,,,
,100,0,0,08/12/2016,DIACEREINA 50MG C/30 CAP.,226,,,
,170,0,0,08/12/2016,DEFLAZACORT 6MG C/20 TAB.,2811,,,
,200,0,0,08/12/2016,LEVOTIROXINA SODICA 50MCG C/50 TAB.,937,,,
,40,0,0,08/12/2016,ACETONIDO DE FLUOCINOLONA + POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. OTICAS FCO. C/15ML,775,,,
,60,0,0,08/12/2016,ETOFENAMATO TUBO CREMA C/40GR,112,,,
,800,0,0,08/12/2016,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NO FCO. C/90 DISP. Y 1,2552,,,
,100,0,0,08/12/2016,IVERMECTINA 6MG C/2 TAB.,442,,,
,15,0,0,08/12/2016,BROMAZEPAM 3MG C/30 TAB.,588,,,
,80,0,0,08/12/2016,METOTREXATO 50/2ML SOL. INY. C/1 AMP.,847,,,
,15,0,0,08/12/2016,SULFADIACINA DE PLATA MICRONIZADA 1% CREMA TUBO C/30GR,67,,,
,20,0,0,08/12/2016,AMITRIPTILINA 25MG C/50 TAB.,84,,,
,7,0,0,08/12/2016,CARBONATO DE LITIO 300MG C/50 TAB.,243,,,
,100,0,0,08/12/2016,TERBINAFINA 250MG C/28 TAB.,2847,,,
,80,0,0,08/12/2016,ALPRAZOLAM 0.25MG C/30 TAB. (II),2778,,,
,50,0,0,08/12/2016,CLONAZEPAM 2.5MG/1ML GOTAS 10ML (II),468,,,
,50,0,0,08/12/2016,DIMETICONA PANCREATINA 170MG/80MG C/30 GRAGEAS,1094,,,
,50,0,0,08/12/2016,IPRATROPIO + SALBUTAMOL MONODOSIS 0.5MG/2.5MG NEBUL. C/10 AMP.,187,,,
,250,0,0,08/12/2016,DESLORATADINA 5MG C/30 TAB.,45,,,
,120,0,0,08/12/2016,MONTELUKAST SODICO 10MG C/20 COMP.,778,,,
,60,0,0,08/12/2016,NEOMICINA + CAOLIN + PECTINA 129MG/280MG C/20 TAB.,459,,,
,140,0,0,08/12/2016,HIDROXIPROPILMETILCELULOSA + DEXTRAN SOL OFT. GOTAS FCO C/15ML,613,,,
,30,0,0,08/12/2016,OLANZAPINA 10MG C/14 TAB.,1548,,,
,30,0,0,08/12/2016,PERMETRINA  5% SHAMPOO C/60ML,641,,,
,6,0,0,08/12/2016,DIAZEPAM 10MG C/20 COMP. (II),598,,,
,7,0,0,08/12/2016,PERFENAZINA 4MG C/30 TAB.,587,,,
,150,0,0,08/12/2016,LOSARTAN + HIDROCLOROTIAZIDA 50MG/12.5MG C/30 COMP.,2620,,,
,20,0,0,08/12/2016,DIMENHIDRINATO JARABE FCO. C/120ML,284,,,
