FORMATO DE REQUISICI?N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-sep-16,,,
,50,,,,FLUOXETINA 20MG C/14 CAP.,2570,,,
,100,,,,VITAMINAS PRENATALES C/28 CAP.,1754,,,
,100,,,,KETOPROFENO 100MG C/15 CAP.,463,,,
,70,,,,CLORHIDRATO DE BENCIDAMINA TUBO CREMA C/60GR,57,,,
,50,,,,PREDNISONA 5MG C/20 TAB.,1490,,,
,100,,,,BETAMETASONA + FOSFATO SODICO 2.71/3MG C/1 JER. PRELLENADA,208,,,
,100,,,,MONTELUKAST SODICO 10MG C/20 COMP.,778,,,
,98,,,,TELMISARTAN 40MG C/28 TAB.,968,,,
,92,,,,BRIMONIDINA + TIMOLOL 0.2%/0.5% SOL. OFT. FCO. C/5ML,225,,,
,90,,,,INSULINA LISPRO + PROTAMINA 2X3ML C/300 UNIDADES,420,,,
,90,,,,DEXTROMETORFANO 15MG/5ML JARABE FCO. C/60ML,269,,,
,70,,,,CITRATO DE SILDENAFIL 50MG C/4 TAB.,2790,,,
,92,,,,BISOPROLOL 2.5MG C/30 GRAGEAS,206,,,
,50,,,,CLONAZEPAM 2.5MG/1ML GOTAS 10ML (II),468,,,
,70,,,,METFORMINA 1GR C/30 TAB.,2872,,,
,87,,,,HIDROXIPROPILMETILCELULOSA + DEXTRAN SOL OFT. GOTAS FCO C/15ML,613,,,
,50,,,,LACTULOSA 66.66GR JARABE FCO. C/125ML,1881,,,
,95,,,,METOPROLOL 100MG C/20 TAB.,2627,,,
,85,,,,BISOPROLOL 1.25MG C/30 GRAGEAS,252,,,
,84,,,,DICLOFENACO POTASICO 25MG C/20 GRAGEAS,165,,,
,100,,,,RANITIDINA 300MG C/10 COMP.,2663,,,
,70,,,,HIDROCLOROTIAZIDA 25MG C/20 TAB.,81,,,
,100,,,,FEXOFENADINA 6MG/ML SUSP. FCO. C/150ML,2553,,,
,100,,,,ACIDO URSODESOXICOLICO 250MG C/50 CAP.,861,,,
,100,,,,CICLESONIDA 50MCG SPRAY NASAL C/120 DOSIS,3009,,,
,81,,,,TRIMETOPRIMA + SULFAMETOXAZOL 160MG/800MG C/14 TAB.,1920,,,
,50,,,,ALENDRONATO SODICO 70MG C/4 TAB.,1945,,,
,50,,,,DIMETICONA + GUAIAZULENE C/14 SOBRES,2689,,,
,100,,,,NORELGESTROMINA + ETINILESTRADIOL C/3 PARCHES TRASDERMICO,1922,,,
,79,,,,ALUMINIO + MAGNESIO + DIMETICONA SUSP. FCO. C/360ML (MENTA),700,,,
,95,,,,NIMESULIDE 100MG C/10 TAB.,628,,,
,93,,,,TELMISARTAN 80MG C/ 28 TAB.,2575,,,
,77,,,,MEDIAS ELASTICAS MED. COMP DEBAJO DE LA RODILLAS MATERIAL DE CURACION (MEDIANA),1893,,,
,100,,,,ESTROGENOS CONJUGADOS DE ORIGEN EQUINO TUBO C/43GR,679,,,
,100,,,,FEXOFENADINA + FENILEFRINA 60MG/25MG C/10 TAB.,2579,,,
,50,,,,MECLIZINA + PIRIDOXINA 25MG/50MG C/25 TAB.,2635,,,
,100,,,,DESLORATADINA 50MG JARABE FCO C/120ML,69,,,
,75,,,,CETIRIZINA 10MG C/10 TAB.,884,,,
,74,,,,CLINDAMICINA 300MG C/16 CAP.,2680,,,
,40,,,,DICLOXACILINA 500MG C/20 CAP.,1510,,,
,72,,,,TRIMEBUTINA 200MG C/40 TAB.,330,,,
,71,,,,CLORHIDRATO DE TRAMADOL 100MG C/10 TAB.,855,,,
,50,,,,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,,,
,74,,,,GABAPENTINA 300MG C/30 CAP.,2643,,,
,75,,,,CARBAMAZEPINA 400MG C/20 GRAGEAS,815,,,
,69,,,,POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. ORAL FCO. SPRAY C/20ML,21,,,
,69,,,,METOTREXATO 50/2ML SOL. INY. C/1 AMP.,847,,,
,70,,,,INSULINA LISPRO C/1000 UNIDADES,419,,,
,50,,,,NIFEDIPINO 30MG LIB. PROL. C/30 TAB.,2682,,,
,50,,,,VITAMINAS + HIERRO C/36 TAB.,111,,,
,70,,,,CLOPIDOGREL 75MG C/28 TAB.,692,,,
,50,,,,TERBINAFINA 250MG C/28 TAB.,2847,,,
,80,,,,CLORURO DE SODIO Y GLICEROL 30ML ADTO. SOL. FCO C/30ML,2754,,,
,66,,,,FEXOFENADINA 180MG C/10 COMP.,2844,,,
,80,,,,AMANTADINA + CLORFENAMINA + PARACETAMOL FCO. C/60ML,30,,,
,70,,,,TRINITRATO DE GLICERILO 18MG x PARCHE (5MG/24 Hrs C/7),2143,,,
,67,,,,RAMIPRIL 2.5MG C/16 TAB.,1928,,,
,100,,,,ESPIRONOLACTONA + FUROSEMIDA 50MG/20MG C/16 CAP.,483,,,
,70,,,,IVERMECTINA 6MG C/2 TAB.,442,,,
,61,,,,POLIETILENGLICOL+ PROPILENGLICOL GOTAS OFT. FCO. C/15ML,996,,,
,61,,,,HIERRO ACIDO FOLICO C/30 GRAGEAS,2823,,,
,64,,,,PROPAFENONA 150MG C/30 TAB.,626,,,
,80,,,,FEXOFENADINA 120MG C/10 COMP.,93,,,
,50,,,,LEVOFLOXACINO 750MG C/7 TAB.,2737,,,
,53,,,,ERGOTAMINA + ACIDO ACETILSALICILICO + CAFEINA 1MG/400MG/50MG C/36 TAB. (II),773,,,
,40,,,,LORAZEPAM 2MG C/40 TAB. (II),575,,,
,70,,,,MUPIROCINA UNGUENTO  TUBO C/15GR,2657,,,
,50,,,,SALBUTAMOL 100MCG SPRAY C/ 200 DOSIS,2696,,,
,70,,,,CAPTOPRIL 25MG C/30 TAB.,2569,,,
,80,,,,ALPRAZOLAM 0.25MG C/30 TAB. (II),2778,,,
,70,,,,TRIMEBUTINA 2GR/100ML SUSP. JUNIOR FCO C/100ML,218,,,
,70,,,,HIDROCORTISONA CREMA C/30GR,1523,,,
,75,,,,CLOTRIMAZOL 20GR CREMA C/3 APLICADORES,334,,,
,70,,,,SAXAGLIPITINA + METFORMINA 5MG/1000MG C/28 TAB.,2929,,,
,50,,,,BRIMONIDINA + TIMOLOL + DORSOLAMINA 20/5/2ML SOL. OFT. C/5ML,1546,,,
,56,,,,DEXKETOPROFENO TROMETAMOL 25MG C/10 TAB.,1241,,,
,60,,,,"INSULINA BASAL ANALOGA DETEMIR 1,500UI C/PLUMAS JER. PRELLENADA",2967,,,
,58,,,,ACIDO TIOCTICO 600MG C/30 TAB.,848,,,
,55,,,,ORFENADRINA + PARACETAMOL 35MG/450MG C/50 TAB.,620,,,
,50,,,,CLARITROMICINA + AMBROXOL 500MG/45MG C/10 TAB.,2731,,,
,60,,,,PRASUGREL 10MG C/14 TAB.,2900,,,
,20,,,,LINACLOTIDE .29MG C/30 CAP.,3023,,,
,60,,,,OXCARBAZEPINA 300MG C/20 GRAGEAS,833,,,
,54,,,,ENALAPRIL 5MG C/30 TAB.,1513,,,
,70,,,,SALMETEROL + FLUTICASONA 25MCG/50MCG 12GR FCO. C/120 DOSIS,786,,,
,53,,,,GABAPENTINA 400MG C/15 CAP.,148,,,
,60,,,,CEFIXIMA 100MG/5ML SUSP. ORAL C/100ML,1135,,,
,53,,,,ACIDO TIAPROFENICO 300MG C/30 COMP.,772,,,
,50,,,,NEOMICINA + POLIMIXINA B + BACITRACINA UNGUENTO DERMICO TUBO C/30GR,2592,,,
,20,,,,TRIBENOSIDO + LIDOCAINA TUBO C/30GR,680,,,
,52,,,,RALOXIFENO 60MG C/28 TAB.,324,,,
,52,,,,DOXICICLINA 100MG C/10 CAP.,283,,,
,60,,,,CLONIXINATO DE LISINA 250MG C/10 TAB.,1499,,,
,51,,,,AMBROXOL GOTAS FCO. C/30ML,23,,,
,50,,,,ACIDO NALIDIXICO + FENAZOPIRIDINA 500MG/50MG C/20 TAB.,2775,,,
,50,,,,TROXERUTINA + CUMARINA 180MG/30MG C/30 GRAGEAS,1075,,,
,50,,,,INSULINA HUMANA NPH CARTUCHO 100UI C/2X3ML,421,,,
,50,,,,ITRACONAZOL 100MG C/15 CAP.,443,,,
,60,,,,CABERGOLINA 0.5MG C/2 TAB.,282,,,
,48,,,,METRONIDAZOL + MICONAZOL 750MG/200MG C/7 OVULOS VAGINALES,1263,,,
,48,,,,KETOROLACO + TRAMADOL 10MG/25MG SUBLINGUAL C/4 TAB.,2656,,,
,47,,,,TOPIRAMATO 25MG C/28 TAB.,2578,,,
,47,,,,METOTREXATO 2.5MG C/50 TAB.,2504,,,
,50,,,,CICLOPIROX SOL. C/3ML,1377,,,
,50,,,,BENCIPENISILINA BENZATANICA,128,,,
,45,,,,OXIMETAZOLINA + ALCOHOL POLIVINILICO 0.25MG SOL. OFT. FCO. C/10ML,659,,,
,45,,,,FINASTERIDE 5MG C/30 GRAGEAS,2694,,,
,45,,,,CLORTALIDONA 50MG C/20 TAB.,182,,,
,44,,,,NITROFURANTOINA 100MG C/40 CAP.,546,,,
,50,,,,BETAMETASONA TUBO C/30GR,2784,,,
,45,,,,BETAHISTINA 24MG C/30 TAB.,2931,,,
,44,,,,NEOMICINA + POLIMIXINA B + DEXAMETASONA UNGUENTO OFTALMICO TUBO C/3.5GR,526,,,
,44,,,,PLANTAGO OVATA + SENNA ANGUSTIFOLIA 2.71 GR/0.62 GR FCO. GRANULADO C/100GR,11,,,
,20,,,,SULFASALAZINA 500MG C/60 GRAGEAS,47,,,
,44,,,,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA Y DICLOFENACO SODICO NO1 - 3 Y NO - 3 C/JGA AMP.,2803,,,
,60,,,,EZETIMIBA 10MG C/28 TAB.,909,,,
,35,,,,CLORHIDRATO DE ALFUZOSINA 10MG LIB. PROL. C/28 TAB.,893,,,
,50,,,,CLOTRIMAZOL 10MG TUBO CREMA C/20GR,1505,,,
,43,,,,TIZANIDINA 2MG C/20 TAB.,787,,,
,42,,,,CIPROFLOXACINO + HIDROCORTISONA + LIDOCAINA SOL. OTICA GOTAS,2789,,,
,40,,,,ACETONIDO DE FLUOCINOLONA + POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. OTICAS FCO. C/15ML,775,,,
,30,,,,MESALAZINA 500MG C/40 GRAGEAS,1533,,,
,50,,,,MONTELUKAST 4MG C/10 SOBRES,1641,,,
,42,,,,FUROSEMIDA 40MG C/20 TAB.,369,,,
,41,,,,PRAZOSINA 1MG C/30 COMP.,539,,,
,41,,,,BIFONAZOL TUBO CREMA C/20GR,1271,,,
,41,,,,ATENOLOL 50MG C/28 TAB.,2782,,,
,41,,,,L-TARTRATO DE TOLTERODINA 2MG C/28 TAB.,2863,,,
,41,,,,PIMECROLIMUS 1% CREMA C/30GR,348,,,
,40,,,,CLEBOPRIDA + SIMETICONA C/45 CAP.,2950,,,
,35,,,,MICOFENOLATO DE MOFELITO 500MG C/50 TAB.,1648,,,
,40,,,,IPRATROPIO + SALBUTAMOL 20MCG/100MCG SUSP. AEROSOL FCO. C/120 DOSIS,186,,,
,50,,,,DILTIAZEM 30MG C/30 COMPS.,2857,,,
,40,,,,TIAMAZOL 5MG C/20 TAB.,1098,,,
,40,,,,BISOPROLOL 5MG C/30 GRAGEAS,1160,,,
,50,,,,LEVOTIROXINA SODICA + LIOTIRONINA 100MCG/20MCG C/50 TAB.,622,,,
,40,,,,DESOGESTREL 0.075MG C/28 TAB.,2225,,,
,50,,,,LEFLUNOMIDA 20MG C/30 COMP.,34,,,
,10,,,,BUDESONIDA 0.125MG/ML NEBUL. C/5 AMP. SOBRE 2ML,1008,,,
,39,,,,HIDROXICINA 10MG C/30 TAB.,102,,,
,39,,,,TOPIRAMATO 100MG C/20 TAB.,2837,,,
,39,,,,FENITOINA SODICA 100MG C/50 CAP.,2834,,,
,38,,,,MONTELUKAST SODICO 5MG C/20 COMP.,779,,,
,15,,,,OXIBUTININA 5MG C/30 TAB.,615,,,
,37,,,,RISPERIDONA 1MG C/20 TAB.,1024,,,
,37,,,,DIMETICONA PANCREATINA 170MG/80MG C/30 GRAGEAS,1094,,,
,7,,,,CLORHIDRATO AMITRIPTILINA + DIAZEPAM + PERFENACINA 10MG/3MG/2MG C/30 TAB.,574,,,
,20,,,,MOXIFLOXACINO 400MG C/7 TAB.,86,,,
,36,,,,ITOPRIDA 50MG C/30 TAB.,2747,,,
,36,,,,ACIDO IBANDRONICO 150MG C/1 COMP.,1154,,,
,36,,,,NEOMICINA + POLIMIXINA B + DEXAMETASONA SUSP. OFT. FCO. C/5ML,527,,,
,38,,,,CLORHIDRATO DE AMIODARONA 200MG C/20 TAB.,2795,,,
,30,,,,CEFALEXINA 250MG/5ML SUSP.,1483,,,
,13,,,,SOMATROPINA 10MG PLUMA PRELLENADA C/1 DISPOSITIVO DE 1.5ML,3000,,,
,30,,,,VENLAFAXINA 75MG C/20 CAP.,602,,,
,40,,,,HIDROXIPROPILMETILCELULOSA + DEXTRAN UNGUENTO TUBO C/3.5GR,612,,,
,35,,,,AZITROMICINA 600MG FCO. SUSP. C/15ML,1855,,,
,35,,,,OXIDO DE ZINC TUBO CREMA C/30GR,665,,,
,34,,,,RIVAROXABAN 10MG C/10 COMP. RECUBIERTOS,2915,,,
,50,,,,PROGESTERONA 100MG C/30 PERLAS,1492,,,
,25,,,,FLUCONAZOL 100MG C/10 CAP.,361,,,
,34,,,,NAN H A 1 FORMULA LACTEA HIPOALERGENICA BIFIDUS LATA PVO. C/400GR,608,,,
,22,,,,ISOTRETINOINA 10MG C/30 CAP.,2412,,,
,34,,,,ACICLOVIR 200MG/5ML FCO. C/120ML,501,,,
,40,,,,MEMANTINA 10MG C/28 TAB.,83,,,
,33,,,,CLOBETASOL 0.044GR TUBO C/40GR,1238,,,
,33,,,,SALBUTAMOL 5MG/ML SOL. NEBUL. FCO. C/10ML,866,,,
,25,,,,MINOCICLINA 100MG MICROGRANULOS C/10 CAP. ,552,,,
,33,,,,VITAMINA A + OXIDO ZINC + ACIDO BORICO + ALANTOINA POMADA TUBO C/60GR,418,,,
,33,,,,CLORHIDRATO DE BROMHEXINA JARABE C/100ML,1874,,,
,35,,,,PRUCALOPRIDA 2MG C/14 COMP.,2930,,,
,35,,,,ESOMEPRAZOL 10MG C/28 SOBRES GRANULADOS,2281,,,
,33,,,,ACIDO VALPROICO JARABE 250MG C/120ML,290,,,
,33,,,,CLARITROMICINA 250MG SUSP. PED. FCO. C/60ML GRANULOS,467,,,
,32,,,,CETIRIZINA SOL. FCO. C/50ML,885,,,
,17,,,,AMITRIPTILINA 25MG C/50 TAB.,84,,,
,32,,,,CLORHIDRATO DE TRAMADOL 100MG/ML GOTAS C/10ML,1880,,,
,32,,,,LIDOCAINA + HIDROCORTISONA TUBO UNG. C/20GR y APLICADOR,2808,,,
,32,,,,RISPERIDONA 2MG C/20 TAB.,2698,,,
,32,,,,CIPROFLOXACINO + DEXAMETASONA 3MG/1MG/ML FCO. C/5ML,2697,,,
,25,,,,KETOCONAZOL POLVO TALCO FCO. C/60GR,191,,,
,32,,,,ALUMINIO + MAGNESIO + DIMETICONA C/50 TAB. (MENTA),699,,,
,32,,,,METFORMINA + GLIBENCLAMIDA 500MG/5MG C/60 TAB.,1867,,,
,32,,,,GLIBENCLAMIDA 5MG C/50 TAB.,1418,,,
,14,,,,BROMAZEPAM 3MG C/30 TAB.,588,,,
,20,,,,METRONIDAZOL 500MG C/30 COMP.,2865,,,
,40,,,,CLORHIDRATO DE DULOXETINA 60MG C/28 CAPS.,210,,,
,31,,,,CLOBETASOL 0.050% TUBO C/30GR,227,,,
,31,,,,CETIRIZINA SOL 10MG/ML C/10ML,871,,,
,31,,,,RIFAXIMINA 200MG C/12 GRAGEAS,1716,,,
,35,,,,CLARITROMICINA 500MG C/10 TAB.,2092,,,
,40,,,,DOMPERIDONA 10MG C/30 TAB.,2649,,,
,3,,,,SIROLIMUS 1MG C/60 GRAGEAS,743,,,
,31,,,,CLORANFENICOL 5MG/ML GOTAS OFT. C/15ML ,2726,,,
,31,,,,HIDROXIDO DE MAGNESIO 8.5GR SUSP. C/180ML,499,,,
,20,,,,BUDESONIDA + FORMOTEROL 160MG/4.5MCG SPRAY,782,,,
,10,,,,DICLOFENACO SODICO 75MG/3ML SOL. INY. ENV. C/2 AMP.,295,,,
,40,,,,OXIMETAZOLINA 25MG SOL. NASAL FCO. NEB. C/20ML,231,,,
,25,,,,"ERITROPOYETINA HUMANA 50,000UI/10ML INY. C/1 AMP.",2717,,,
,35,,,,AMPICILINA 500MG C/20 CAP.,2565,,,
,29,,,,GEMFIBROZILO 600MG C/14 TAB.,945,,,
,29,,,,NAPROXENO SODICO + PARACETAMOL 125MG/100MG SUSP. FCO.  C/80ML,1912,,,
,40,,,,OXIMETAZOLINA 50MG SOL. NASAL FCO. NEB. C/20ML,230,,,
,30,,,,GLICOPIRRONIO + INDACATEROL C/30 CAP. INHALACION,3017,,,
,3,,,,CLORHIDRATO DE METILFENIDATO 10MG C/30 COMP. (III),592,,,
,30,,,,AZILSARTAN MEDOXOMILO + CLORTALIDONA 80/12.5 C/28 TAB.,2948,,,
,28,,,,MOSAPRIDA 5MG C/30 COMP.,1656,,,
,1,,,,TALIDOMIDA 100MG C/50 TAB.,1076,,,
,35,,,,METFORMINA + GLIBENCLAMIDA 500MG/2.5MG C/30 TAB.,2616,,,
,20,,,,AMOXICILINA 250MG SUSP. C/75ML,24,,,
,28,,,,NITROFURANTOINA 50MG C/40 CAP.,523,,,
,28,,,,TOBRAMICINA 3MG/1ML SOL. OFT. FCO. C/5ML,2677,,,
