,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,FECHA:,,,,,,
,2,0,0,2015-01-13,ERDOSTEINA SOL. C/90ML,2963,,,,,,
,9,0,0,2015-01-13,ESCITALOPRAM 10MG C/28 TAB.,497,,,,,,
,12,0,0,2015-01-13,ESOMEPRAZOL 10MG C/28 SOBRES GRANULADOS,2281,,,,,,
,23,0,0,2015-01-13,ESPIRONOLACTONA + FUROSEMIDA 50MG/20MG C/16 CAP.,483,,,,,,
,5,0,0,2015-01-13,ESPIRONOLACTONA 100MG C/30 TAB.,2573,,,,,,
,7,0,0,2015-01-13,ESPIRONOLACTONA 25MG C/30 TAB.,2572,,,,,,
,2,0,0,2015-01-13,ESTRADIOL + DROSPIRENONA 1MG/2MG C/28 COMPS. RECUB.,1375,,,,,,
,31,0,0,2015-01-13,ESTROGENOS CONJUGADOS DE ORIGEN EQUINO TUBO C/43GR,679,,,,,,
,33,0,0,2015-01-13,ETINILESTRADIOL + DROSPIRENONA 0.03MG/3.0MG C/21 GRAGEAS,899,,,,,,
,1,0,0,2015-01-13,ETINILESTRADIOL + DROSPIRENONA 3MG 24/4 C/28 COMP.,2741,,,,,,
,103,0,0,2015-01-13,ETORICOXIB 90MG C/14 COMP.,965,,,,,,
,63,0,0,2015-01-13,EXTRACTO DE CASTANA DE LA INDIA C/30 GRAGEAS,867,,,,,,
,87,0,0,2015-01-13,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910,,,,,,
,4,0,0,2015-01-13,FELODIPINO + METOPROLOL 5/47.5MG C/14 TAB.,1176,,,,,,
,41,0,0,2015-01-13,FENOFIBRATO 160MG C/30 CAP.,1190,,,,,,
,1,0,0,2015-01-13,FENTERMINA 15MG C/30 TAB.,2964,,,,,,
,30,0,0,2015-01-13,FEXOFENADINA + FENILEFRINA 60MG/25MG C/10 TAB.,2579,,,,,,
,2,0,0,2015-01-13,FEXOFENADINA 120MG C/10 COMP.,93,,,,,,
,22,0,0,2015-01-13,FEXOFENADINA 180MG C/10 COMP.,2844,,,,,,
,17,0,0,2015-01-13,FEXOFENADINA 6MG/ML SUSP. FCO. C/150ML,2553,,,,,,
,9,0,0,2015-01-13,FINASTERIDE 5MG C/30 GRAGEAS,2694,,,,,,
,4,0,0,2015-01-13,FLOROGLUCINOL + TRIMETILFLOROGLUCINOL 80MG/80MG C/20 CAP.,2840,,,,,,
,10,0,0,2015-01-13,FLUCONAZOL+ TINIDAZOL 37.5MG/500MG C/4 TAB.,1262,,,,,,
,1,0,0,2015-01-13,FLUOROMETOLONA 1% SOL. OFT. FCO. C/5ML,379,,,,,,
,32,0,0,2015-01-13,FLUOXETINA 20MG C/14 CAP.,2570,,,,,,
,3,0,0,2015-01-13,FLUTICASONA 250MCG FCO. PRESURIZADO C/60 DOSIS,360,,,,,,
,2,0,0,2015-01-13,FLUVOXAMINA 100MG C/15 GRAGEAS,516,,,,,,
,1,0,0,2015-01-13,FOSFOMICINA 500MG C/12 CAP.,2242,,,,,,
,16,0,0,2015-01-13,FUROSEMIDA 40MG C/20 TAB.,369,,,,,,
,33,0,0,2015-01-13,GABAPENTINA 300MG C/30 CAP.,2643,,,,,,
,1,0,0,2015-01-13,GLICERINA + POLISORBAPO 1%/80al1% SOL. OFT. C/20 ENVASES UNIDOSIS DE 0.4ML,2251,,,,,,
,1,0,0,2015-01-13,GLICEROL SUP. PED. C/10,331,,,,,,
,5,0,0,2015-01-13,GLIMEPERIDINA + METFORMINA 1000MG/4MG C/16 TAB.,1868,,,,,,
,2,0,0,2015-01-13,GLUCONATO DE POTASIO GK C/10 SOBRES,1232,,,,,,
,10,0,0,2015-01-13,HEMITARTRATO DE ZOLPIDEM 10MG C/30 TAB. (III),632,,,,,,
,1,0,0,2015-01-13,HIDROXIDO DE MAGNESIO 8.5GR SUSP. C/180ML,499,,,,,,
,28,0,0,2015-01-13,HIDROXIPROPILMETILCELULOSA + DEXTRAN SOL OFT. GOTAS FCO C/15ML,613,,,,,,
,3,0,0,2015-01-13,HIDROXIPROPILMETILCELULOSA + DEXTRAN UNGUENTO TUBO C/3.5GR,612,,,,,,
,6,0,0,2015-01-13,HIDROXOCABALAMINA TIAMINA PIRIDOXINA C/5 AMP. Y JER.,2861,,,,,,
,23,0,0,2015-01-13,IBUPROFENO 400MG C/10 TAB.,2678,,,,,,
,162,0,0,2015-01-13,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919,,,,,,
,32,0,0,2015-01-13,INSULINA LISPRO C/1000 UNIDADES,419,,,,,,
,21,0,0,2015-01-13,IPRATROPIO + SALBUTAMOL 20MCG/100MCG SUSP. AEROSOL FCO. C/120 DOSIS,186,,,,,,
,16,0,0,2015-01-13,ITOPRIDA 50MG C/30 TAB.,2747,,,,,,
,1,0,0,2015-01-13,KETOCONAZOL 2/100ML SHAMPOO C/1,840,,,,,,
,27,0,0,2015-01-13,KETOPROFENO 100MG C/15 CAP.,463,,,,,,
,14,0,0,2015-01-13,KETOROLACO + TRAMADOL 10MG/25MG SUBLINGUAL C/4 TAB.,2656,,,,,,
,4,0,0,2015-01-13,LACTULOSA + PARAFINA LIQUIDA + PARAFINA BLANCA GEL ORAL FCO. C/150GR,2968,,,,,,
,21,0,0,2015-01-13,LACTULOSA 66.66GR JARABE FCO. C/125ML,1881,,,,,,
,41,0,0,2015-01-13,LAMOTRIGINA 50MG /28 TAB.,1774,,,,,,
,39,0,0,2015-01-13,LEVETIRACETAM 500MG C/30 TAB.,469,,,,,,
,2,0,0,2015-01-13,LEVETIRACETAM SOL. 100MG C/150ML,2023,,,,,,
,6,0,0,2015-01-13,LEVOCETIRIZINA SOL. INFANTIL C/150ML,2735,,,,,,
,9,0,0,2015-01-13,LEVONORGESTREL + ETINILESTRADIOL 0.15MG/.03MG C/21 GRAGEAS,2693,,,,,,
,20,0,0,2015-01-13,LEVOTIROXINA SODICA 100MCG C/50 TAB.,502,,,,,,
,22,0,0,2015-01-13,LEVOTIROXINA SODICA 75MCG C/50 TAB.,938,,,,,,
,3,0,0,2015-01-13,LIOFILIZADO ESTANDARIZADO DE LISADO BACTERIANOS INFANTIL 3.5MGS. C/10 CAP.,135,,,,,,
,4,0,0,2015-01-13,LIOFILIZADO ESTANDARIZADO DE LISADOS BACTERIANOS CAPSULAS ADULTOS 7MG C/10 CAP.,1795,,,,,,
,117,0,0,2015-01-13,LORATADINA + AMBROXOL 5MG/30MG/5ML JBE. C/120ML,376,,,,,,
,22,0,0,2015-01-13,LOSARTAN + HIDROCLOROTIAZIDA 50MG/12.5MG C/30 COMP.,2620,,,,,,
,66,0,0,2015-01-13,LOSARTAN 50MG C/30 TAB.,2602,,,,,,
,15,0,0,2015-01-13,MAGALDRATO + DIMETICONA 8GR/1GR C/250ML,2591,,,,,,
,1,0,0,2015-01-13,MALEATO DE ERGOMETRINA 0.2MG C/20 TAB.,344,,,,,,
,3,0,0,2015-01-13,MECLIZINA + PIRIDOXINA + LIDOCAINA C/1 AMP.,2841,,,,,,
,24,0,0,2015-01-13,MECLIZINA + PIRIDOXINA JARABE FCO. C/120ML,124,,,,,,
,3,0,0,2015-01-13,MEDROXIPROGESTERONA 10MG C/10 TAB.,1555,,,,,,
,82,0,0,2015-01-13,MELOXICAN + METOCARBAMOL 15MG/215MG C/10 CAP.,2801,,,,,,
,15,0,0,2015-01-13,MEMANTINA 10MG C/28 TAB.,83,,,,,,
,1,0,0,2015-01-13,MESALAZINA 1GR C/30 SOBRES GRANULADOS,1526,,,,,,
,2,0,0,2015-01-13,MESALAZINA 500MG C/10 SUP.,2970,,,,,,
,16,0,0,2015-01-13,MESALAZINA 500MG C/40 GRAGEAS,1533,,,,,,
,48,0,0,2015-01-13,METFORMINA 750MG LIB. PROL. C/30 TAB.,2711,,,,,,
,75,0,0,2015-01-13,METFORMINA 850MG C/30 TAB.,1897,,,,,,
,3,0,0,2015-01-13,MICONAZOL 2% TUBO GEL ORAL C/78GR,259,,,,,,
,6,0,0,2015-01-13,MIRTAZAPINA 30MG C/10 TAB.,3032,,,,,,
,5,0,0,2015-01-13,MIRTAZAPINA 30MG C/12 TAB. DISP.,740,,,,,,
,34,0,0,2015-01-13,MOMETASONA 0.05% SPRAY NASAL PED. C/10ML Y 60 NEBUL.,735,,,,,,
,3,0,0,2015-01-13,MOMETASONA 1% UNGUENTO TOPICO TUBO C/30GR,319,,,,,,
,35,0,0,2015-01-13,MONTELUKAST SODICO 10MG C/20 COMP.,778,,,,,,
,10,0,0,2015-01-13,MONTELUKAST SODICO 4MG C/10 TAB.,1143,,,,,,
,17,0,0,2015-01-13,MONTELUKAST SODICO 5MG C/20 COMP.,779,,,,,,
,25,0,0,2015-01-13,MUPIROCINA UNGUENTO 2% TUBO C/15GR,2657,,,,,,
,1,0,0,2015-01-13,NAFAZOLINA 5% SOL. OFT. GOTERO FCO. C/15ML ,2597,,,,,,
,7,0,0,2015-01-13,NAN A.R FORMULA LACTEA LATA C/400GR,634,,,,,,
,14,0,0,2015-01-13,NAN H A 1 FORMULA LACTEA HIPOALERGENICA BIFIDUS LATA PVO. C/400GR,608,,,,,,
,2,0,0,2015-01-13,NEOCATE POLVO C/400GR,2454,,,,,,
,1,0,0,2015-01-13,NEPAFENACO 1.0MG SOL. OFT. GOTAS C/5ML,2072,,,,,,
,2,0,0,2015-01-13,NIFEDIPINO 10MG C/20 CAP.,2875,,,,,,
,1,0,0,2015-01-13,NIFEDIPINO 20MG LIB. PROL. C/28 COMP.,8,,,,,,
,3,0,0,2015-01-13,NIFEDIPINO 30MG LIB. PROL. C/30 TAB.,2682,,,,,,
,29,0,0,2015-01-13,NIMESULIDE 100MG C/10 TAB.,628,,,,,,
,1,0,0,2015-01-13,NITROFURAL TARRO C/453.6GR,367,,,,,,
,11,0,0,2015-01-13,NITROFURANTOINA 50MG C/40 CAP.,523,,,,,,
,2,0,0,2015-01-13,NORELGESTROMINA + ETINILESTRADIOL C/3 PARCHES TRASDERMICO,1922,,,,,,
,3,0,0,2015-01-13,NORFENILEFRINA SOL. GOTAS FCO. C/24ML,2,,,,,,
,9,0,0,2015-01-13,NUTRAMIGEN PREMIUM LATA C/357GR,329,,,,,,
,37,0,0,2015-01-13,NUTRICION COMPLETA Y BALANCEADA CON FRUCTOOLISACARIDOS CUALQUIER SABOR LATA EN POLVO C/400GR,2557,,,,,,
,3,0,0,2015-01-13,OLANZAPINA + FLUOXETINA 6/25MG C/14 CAP.,1180,,,,,,
,11,0,0,2015-01-13,OLANZAPINA 10MG C/14 TAB.,1548,,,,,,
,86,0,0,2015-01-13,OMEPRAZOL 20MG C/14 CAP.,657,,,,,,
,4,0,0,2015-01-13,ONDANSETRON 8MG C/10 TAB.,2843,,,,,,
,1,0,0,2015-01-13,ORCIPRENALINA 20MG C/30 TAB.,2007,,,,,,
,17,0,0,2015-01-13,OXIBUTININA 5MG C/30 TAB.,615,,,,,,
,6,0,0,2015-01-13,OXIMETAZOLINA 25MG SOL. NASAL FCO. NEB. C/20ML,231,,,,,,
,7,0,0,2015-01-13,PANCREATINA+ESTRACTO SECO BILIS BUEY+DIMETILPOLISILOXANO 130/50/40/MG C/30 GRAGEAS,3014,,,,,,
,2,0,0,2015-01-13,PARACETAMOL + CODEINA 500MG/30MG C/30 CAP. (II),596,,,,,,
,183,0,0,2015-01-13,PARACETAMOL 1GR C/20 TAB.,810,,,,,,
,2,0,0,2015-01-13,PARECOXIB SODICO 40MG/2ML INY. C/2 AMP.,1481,,,,,,
,44,0,0,2015-01-13,PARGEVERINA + CLONIXINATO DE LISINA 10MG/125MG C/20  COMP.,694,,,,,,
,1,0,0,2015-01-13,"PENICILINA CLEMIZOL + BENCILPENICILINA SODICA 1,000,000UI + 1 AMP. DE DILUYENTE",26,,,,,,
,1,0,0,2015-01-13,PERFENAZINA 4MG C/30 TAB.,587,,,,,,
,2,0,0,2015-01-13,PEROXIDO DE BENZOILO 10% TUBO GEL C/60GR,115,,,,,,
,12,0,0,2015-01-13,PEROXIDO DE BENZOILO 5% TUBO GEL C/60GR,116,,,,,,
,48,0,0,2015-01-13,PIOGLITAZONA 30MG C/7 TAB.,914,,,,,,
,2,0,0,2015-01-13,PIRACETAM 800MG C/30 TAB.,971,,,,,,
,5,0,0,2015-01-13,POLIETILENGLICOL + BICAR. SODICO + CL SODIO + CL DE POTASIO POLVO 109.6GR C/4 SOBRES,623,,,,,,
,43,0,0,2015-01-13,POLIETILENGLICOL FCO. POLVO C/255GR,256,,,,,,
,30,0,0,2015-01-13,POLIVITAMINAS CON MINERALES C/30 CAP.,886,,,,,,
,5,0,0,2015-01-13,PRAMIPEXOL 0.5MG C/30 TAB.,2411,,,,,,
,14,0,0,2015-01-13,PRASUGREL 10MG C/14 TAB.,2900,,,,,,
,3,0,0,2015-01-13,PREDNISOLONA 100MG SOL. FCO. C/100ML,388,,,,,,
,3,0,0,2015-01-13,PREDNISOLONA 3.0MG/ML SOL. PED. C/120ML,1099,,,,,,
,9,0,0,2015-01-13,PREDNISONA 20MG C/30 TAB.,642,,,,,,
,10,0,0,2015-01-13,PROGESTERONA 100MG C/30 PERLAS,1492,,,,,,
,26,0,0,2015-01-13,PROPAFENONA 150MG C/30 TAB.,626,,,,,,
,8,0,0,2015-01-13,PROPRANOLOL 40MG C/30 TAB.,783,,,,,,
,5,0,0,2015-01-13,QUETIAPINA 300MG C/30 TAB. LIB PROL.,2353,,,,,,
,3,0,0,2015-01-13,RALOXIFENO 60MG C/28 TAB.,324,,,,,,
,20,0,0,2015-01-13,RAMIPRIL 2.5MG C/16 TAB.,1928,,,,,,
,31,0,0,2015-01-13,RANITIDINA 150MG C/20 TAB.,2630,,,,,,
,8,0,0,2015-01-13,RANITIDINA 150MG JARABE FCO. C/200ML,1494,,,,,,
,14,0,0,2015-01-13,RANITIDINA 300MG C/10 COMP.,2663,,,,,,
,4,0,0,2015-01-13,REPAGLINIDA 2MG C/30 COMP.,1042,,,,,,
,1,0,0,2015-01-13,RIFAMPICINA + ISONIASIDA 200MG/150MG C/24 CAP.,732,,,,,,
,3,0,0,2015-01-13,RIMANTADINA 100MG C/14 CAP.,2393,,,,,,
,8,0,0,2015-01-13,RISPERIDONA 1MG C/20 TAB.,1024,,,,,,
,2,0,0,2015-01-13,RISPERIDONA 1MG/ML SOL. FCO. C/60ML,2139,,,,,,
,10,0,0,2015-01-13,RIVAROXABAN 10MG C/10 COMP. RECUBIERTOS,2915,,,,,,
,2,0,0,2015-01-13,SAXAGLIPITINA + METFORMINA 5MG/1000MG C/28 TAB.,2929,,,,,,
,114,0,0,2015-01-13,SENOSIDOS A-B 374MG C/30 TAB.,789,,,,,,
,2,0,0,2015-01-13,SERENOA REPENS 160MG C/40 CAP.,860,,,,,,
,57,0,0,2015-01-13,SERTRALINA 50MG C/14 TAB. RANURADAS,1497,,,,,,
,6,0,0,2015-01-13,SILIMARINA 70MG C/20 COMP.,2151,,,,,,
,118,0,0,2015-01-13,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,1368,,,,,,
,5,0,0,2015-01-13,SOL. ESTERILIZANTE + ANTISEPTICA DE SUPEROXIDACION FCO. C/240ML,1310,,,,,,
,5,0,0,2015-01-13,SULFADIACINA DE PLATA MICRONIZADA 1% CREMA TUBO C/30GR,67,,,,,,
,24,0,0,2015-01-13,SULFATO DE HIDROXICLOROQUINA 200MG C/20 TAB.,675,,,,,,
,6,0,0,2015-01-13,TEGASEROD 6MG C/30 COMP.,912,,,,,,
,48,0,0,2015-01-13,TELMISARTAN + HIDROCLOROTIAZIDA 80MG/12.5MG C/28 TAB.,561,,,,,,
