,,,,FORMATO DE REQUISICI…N,,,,
,39,14,16,18/04/2016,SONDA NELATON FR 12 CAT. V-773-12,,,$546.00
,50,11.5,16,18/04/2016,SONDA NELATON FR. 14 CAT. V-773-14,,,$575.00
,4,14,16,18/04/2016,SONDA NELATON FR. 16 CAT. V-773-16,,,$56.00
,50,17.2,16,18/04/2016,SONDA P/ASPIRAR SECRECION 14 FR CAT. V760C,,,$860.00
,10,18,16,18/04/2016,SONDA PARA SUCCION 10FR. INFANTIL,,,$180.00
,4,6917,16,18/04/2016,S 1 RINSE SOLUTION OMNI S,,,"$27,668.00"
,4,21152,16,18/04/2016,S 3 FLUID PACK A OMNI S,,,"$84,608.00"
,4,14182,16,18/04/2016,"STROMATOLYSER 4DL, 4DS Y 5L",,,"$56,728.00"
,5,6080,16,18/04/2016,STA-NEOPLASTIN PLUS 12X10 ML.,,,"$30,400.00"
,700,8.64,16,18/04/2016,TAPON P/SELLO VENOSO IN-STOPFEN PZA.,,,"$6,048.00"
,72,70.8,16,18/04/2016,TIRA PAPEL PH-14,,,"$5,097.60"
,34,556,16,18/04/2016,TIRAS P/GLUCOSA ONE TOUCH ULTRA C/50,,,"$18,904.00"
,24,10.5,16,18/04/2016,TERMOMETRO DE VIDRIO ORAL,,,$252.00
,15,58.5,16,18/04/2016,TORUNDA DE ALGODON DE 500 GRS.,,,$877.50
,1,685,16,18/04/2016,TUBO LILA 4ML PLAST C/100 BD,,,$685.00
,2,685,16,18/04/2016,TUBO VACUTAINER ORO Y AZUL 5 ML. (PLASTICO),,,"$1,370.00"
,60,36,16,18/04/2016,UNIFORME CIRUJANO (FILIPINA Y PANTALON),,,"$2,160.00"
,16,49.5,16,18/04/2016,VENDA ELASTICA 5X5M. C/12.,,,$792.00
,10,72,16,18/04/2016,VENDA ELASTICA 7 CM. X 5 MTS C/12,,,$720.00
,30,64.5,16,18/04/2016,VENDA ELASTICA 10CMS X 5 MTS C/12,,,"$1,935.00"
,1,144,16,18/04/2016,VENDA DE MALLA TUBULAR No.1,,,$144.00
,1,207,16,18/04/2016,"VENDA MALLA 2, 100 MTS.",,,$207.00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, $-   
,,,,,,,,"$355,892.00"
,,,,,,,,"$56,942.72"
,,,,,,,,"$412,834.72"
