,,,,FORMATO DE REQUISICIàN,,,,,
,,,,,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,, $-   ,
,,,,,,,," $8,574.76 ",
,,,,,,,," $1,371.96 ",
,,,,,,,," $9,946.72 ",
