STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE
,600,4.9,0,12/08/2015,DICLOFENACO SODICO GI SOL INY 75MG/3ML ENV AMPS. DICLOFENACO SODICO,,GENERICO,2,$9.80
,15,33.8,0,12/08/2015,DIPROSPAN BETAMETASONA,,GENERICO,1,$33.80
,5,37,0,12/08/2015,FLEBOCORTID AMP. DE 100 MG AMPS. DE DIL DE 2 ML SUCCINATO SODICO DE HIDROCORTISONA,,GENERICO,1,$37.00
,20,25,0,12/08/2015,GLUCOSA 50%/FRASCO 50 ML,,GENERICO,1,$25.00
,10,11.65,0,12/08/2015,"HARTMAN CLORURO DE SODIO, POTASIO, CALCIO 250 ML",,GENERICO,1,$11.65
,5,15,0,12/08/2015,"HARTMAN CLORURO DE SODIO, POTASIO, CALCIO 500 ML",,GENERICO,1,$15.00
,50,1.32,0,12/08/2015,IBUPROFENO 600 MG,,GENERICO,10,$13.20
,50,1.35,0,12/08/2015,IBUPROFENO 800 MG/TABLETAS,,GENERICO,10,$13.50
,10,440,0,12/08/2015,MAXITROL SUSP. OFTALMICA FCO 5 ML NEOMICINA + POLIMIXINA B + DEXAMETASONA,,Patente,1,$440.00
,60,3.83,0,12/08/2015,METAMIZOL SODICO/AMPOLLETA 2 ML,,GENERICO,3,$11.50
,5,28,0,12/08/2015,PISACAINA S/EPINEFRINA F.A. 50 ML LIDOCAINA S/E 2%,,GENERICO,1,$28.00
,20,28,0,12/08/2015,PISACAINA F.A. 50 ML LIDOCAINA C/E 2% C/ EPINEFRINA,,GENERICO,1,$28.00
,80,0.49,0,12/08/2015,"SEDALMERK TABLETAS 500 MG PARACETAMOL, CAFEINA Y FENILEFRINA",,GENERICO,20,$9.75
,24,15,0,12/08/2015,SOL. FISIOL. CLORURO DE SODIO 0.9% FCO 500ML,,GENERICO,1,$15.00
,72,11.65,0,12/08/2015,SOL. FISIOL. CLORURO DE SODIO 0.9%/FRASCO 250 ML,,GENERICO,1,$11.65
,400,2.39,0,12/08/2015,DUOFLEX 200 MG CARISOPODROL 200 MG DICLOFENACO 50 MG,,GENERICO,20,$47.80
