FORMATO DE REQUISICI?N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
OCTUBRE,,,,,,15-oct-15,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,LUIS,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,100,1.683,0,03/12/2015,BUTILHIOSCINA + METAMIZOL 10MG/250MG,,,,
,150,0.93,0,03/12/2015,NIMESULIDE GI TABS. DE 100 MG. NIMESULIDE,,,,
,100,1,0,03/12/2015,IBUPROFENO 800 MG/TABLETAS,,,,
,160,0.46,0,03/12/2015,CLORFENAMINA COMPUESTA KY6 500MG,,,,
,50,1.43,0,03/12/2015,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,,
,60,0.725,0,03/12/2015,ADVIL 400 MG,,,,
,40,1,0,03/12/2015,IBUPROFENO 800 MG/TABLETAS,,,,
,80,0.46,0,03/12/2015,"PARACETAMOL, CAFEINA, CLORFENAMINA TABS.",,,,
,10,5.282,0,03/12/2015,NEOMELUBRINA 500 MG,,,,
,10,0.55,0,03/12/2015,VOYDOL TABS. 10 MG KETOROLACO + TROMETAMINA CAJA TABLETAS,,,,
,336,0.833333333,0,03/12/2015,AMOXICILINA 500,,,,
,192,1.375833333,0,03/12/2015,NAPROXENO GI TABS. DE 500MG C/10,,,,
,192,1.375833333,0,03/12/2015,NAPROXENO 500 MG C/10,,,,
,156,1.625,0,03/12/2015,CIPROFLOXACINO 500MG COMP.,,,,
,84,1.625,0,03/12/2015,CIPROFLOXACINO 500MG COMP.,,,,
,264,0.441666667,0,03/12/2015,LOPERAMIDA 2 MG C/12 TABLETAS,,,,
,120,1,0,03/12/2015,NAPROXEN 550 MG,,,,
,120,6.423333333,0,03/12/2015,DOLOTANDAX TABLETAS,,,,
,24,0.441666667,0,03/12/2015,LOPERAMIDA 2 MG C/12 TABLETAS,,,,
,280,0.5,0,03/12/2015,OMEPRAZOL CAPSULA 20 MG,,,,
,70,1.95,0,03/12/2015,BROMURO DE PINAVERIO TAB,,,,
,238,0.5,0,03/12/2015,OMEPRAZOL CAPSULA 20 MG,,,,
,3000,0.44,0,03/12/2015,DICLOFENACO 100MG TAB.,,,,
,2000,0.44,0,03/12/2015,DICLOFENACO 100MG TAB.,,,,
,600,0.759,0,03/12/2015,DICLOXACILINA 500MG CAP.,,,,
,400,1.0185,0,03/12/2015,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,,
,60,6.511,0,03/12/2015,AVAPENA TABLETAS 25 MG CLOROPIRAMINA,,,,
,320,1.155,0,03/12/2015,BENZONATATO PERLAS,,,,
,360,0.84,0,03/12/2015,LORATADINA 10MG GRAGEAS,,,,
,240,1.0185,0,03/12/2015,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,,
,200,0.759,0,03/12/2015,DICLOXACILINA 500MG CAP.,,,,
,80,1.886,0,03/12/2015,FENAZOPIRIDINA/AC NALIDIXICO,,,,
,60,1.8705,0,03/12/2015,"SEDALMERK TABLETAS 500 MG PARACETAMOL, CAFEINA Y FENILEFRINA",,,,
,300,0.295,0,03/12/2015,AMBROXOL 30MG COMP. ,,,,
,240,0.2905,0,03/12/2015,RANITIDINA 150MG TAB.,,,,
,60,1.155,0,03/12/2015,BENZONATATO. 100 MG CAPS,,,,
,400,0.1545,0,03/12/2015,METOCLOPRAMIDA GI TABS DE 10 MG METOCLOPRAMIDA,,,,
,120,0.4875,0,03/12/2015,ACIDO ACETILSALICILICO 500 MG C/20,,,,
,100,0.4875,0,03/12/2015,ACIDO ACETILSALICILICO 500 MG,,,,
,60,0.84,0,03/12/2015,LORATADINA 10MG GRAGEAS,,,,
,100,0.37,0,03/12/2015,CLORFENAMINA 4MG TAB,,,,
,480,0.916666667,0,03/12/2015,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,,,,
,288,0.916666667,0,03/12/2015,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,,,,
,48,1.518333333,0,03/12/2015,GRANEODIN B 10 MG 4 BENZOCAINA,,,,
,25,5.4728,0,03/12/2015,MECLIZINA + PIRIDOXINA 25MG TAB.,,,,
,25,5.4728,0,03/12/2015,MECLIZINA + PIRIDOXINA 25MG TAB.,,,,
,150,2.970666667,0,03/12/2015,DESLORATADINA,,,,
,60,2.532,0,03/12/2015,GABAPENTINA 300MG C/30 TAB. // PATENTE,,,,
,90,0.192333333,0,03/12/2015,DIFENIDOL 25MG TAB.,,,,
,120,0.133333333,0,03/12/2015,CAPTOPRIL 25MG TAB.,,,,
,90,0.133333333,0,03/12/2015,CAPTOPRIL 25MG TAB.,,,,
,30,0.192333333,0,03/12/2015,DIFENIDOL 25MG TAB.,,,,
,50,2.928,0,03/12/2015,ESPAVEN ENZIMATICO,,,,
,50,0.09,0,03/12/2015,OCRIX TABS. DE 5 MG GLIBENCLAMIDA,,,,
