,,,,FORMATO DE REQUISICI…N,,,,
,600,0.8,0,20/04/2016,LORATADINA 10MG GRAGEAS,,,$480.00
,4,67,16,20/04/2016,LYSOL DESINFECTANTE ,,,$268.00
,360,0.66,0,20/04/2016,"MELOX PLUS TABS MASTICABLES  ALUMINIO,MAGNESIO,DIMETICONA C/50",,,$237.60
,350,2.7,0,20/04/2016,METOCARBAMOL/ MELOXICAM TAB C/10,,,$945.00
,340,0.25,0,20/04/2016,Metoclopramida c/20,,,$87.50
,300,1.9,0,20/04/2016,NAPROXENO GI TABS. DE 500MG C/10,,,$570.00
,150,0.85,0,20/04/2016,NIMESULIDE GI TABS. DE 100 MG. NIMESULIDE,,,$127.50
,600,0.68,0,20/04/2016,OMEPRAZOL CAPSULA 20 MG C/14,,,$408.00
,400,1.3,0,20/04/2016,PARACETAMOL C/ NAPROXENO,,,$520.00
,10,70,0,20/04/2016,TETRACAINA SOL. OFTALMICA GTS. ,,,$700.00
,500,2.2,0,20/04/2016,SAL DE UVAS PICOT C/50,,,"$1,100.00"
,150,1.5,16,20/04/2016, TOALLAS SANITARIAS C/10,,,$225.00
,800,0.69,0,20/04/2016,KETOROLACO TAB. 10 MG,,,$552.00
,72,2.5,0,20/04/2016,XL3 EXTREME ( PATENTE ),,,$180.00
,90,7,0,20/04/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,$630.00
,200,0.8,0,20/04/2016,METAMIZOL SODICO C/10 TABS,,,$160.00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, $-   
,,,,,,,,"$26,959.08"
,,,,,,,,"$4,313.45"
,,,,,,,,"$31,272.53"
