SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,
SME-010110-DB7,,,,,,,,
,,,,,,,,
,,,,,,FECHA:,,
,124,0,0,,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,0,0
,9,0,0,,BETAMETASONA + CLOTRIMAZOL + GENTAMICINA TUBO CREMA C/25GR,2568,0,0
,16,0,0,,MICONAZOL 2% TUBO CREMA C/20GR,534,0,0
,25,0,0,,ACICLOVIR TUBO CREMA C/5GR,2607,0,0
,23,0,0,,DEXTROMETORFANO + GUAIFENESINA JARABE INFANTIL C/120ML,1886,0,0
,180,0,0,,CIPROFLOXACINO 250MG C/12 TAB,924,0,0
,29,0,0,,BROMURO DE BUTILHIOSCINA 10MG C/10 TAB.,131,0,0
,11,0,0,,DICLOXACILINA 500MG C/20 CAP.,1510,0,0
,16,0,0,,GLIMEPIRIDA 4MG C/30 TAB.,1420,0,0
,50,0,0,,AMPICILINA 500MG C/20 CAP.,2565,0,0
,200,0,0,,AZITROMICINA 500MG C/3 TAB.,1854,0,0
,60,0,0,,DEXTROMETORFANO + GUAIFENESINA + FENILEF PED. C/30ML,2815,0,0
,16,0,0,,TRIMETOPRIMA + SULFAMETOXAZOL 160MG/800MG C/14 TAB.,1920,0,0
,14,0,0,,NIFEDIPINO 30MG LIB. PROL. C/30 TAB.,2682,0,0
,6,0,0,,AMANTADINA + CLORFENAMINA + PARACETAMOL FCO. C/60ML,30,0,0
,25,0,0,,CIPROFLOXACINO 500MG C/12 COMP.,2885,0,0
,35,0,0,,MELOXICAM 7.5MG C/14 TAB.,2623,0,0
,38,0,0,,MELOXICAN + METOCARBAMOL 15MG/215MG C/10 CAP.,2801,0,0
,32,0,0,,LORATADINA 10MG C/20 GRAGEAS,496,0,0
,144,0,0,,PANTOPRAZOL 40MG C/14 GRAGEAS,1479,0,0
,15,0,0,,ALENDRONATO SODICO 70MG C/4 TAB.,1945,0,0
,100,0,0,,DICLOFENACO 1.160% GEL C/60GR,371,0,0
,17,0,0,,KETOROLACO 30MG SUBLINGUAL C/4 TAB.,1431,0,0
,13,0,0,,KETOPROFENO 100MG C/15 CAP.,463,0,0
,28,0,0,,ACIDO FOLICO 5MG C/50 TAB.,52,0,0
,37,0,0,,KETOROLACO + TRAMADOL 10MG/25MG C/10 CAP.,2796,0,0
,37,0,0,,DICLOFENACO SODICO + B1 + B6 +B12 50MG/50MG/50MG/0.25MG C/30 GRAGEAS,377,0,0
,80,0,0,,AMBROXOL GOTAS FCO. C/30ML,23,0,0
,120,0,0,,ALUMINIO + MAGNESIO + DIMETICONA SUSP. FCO. C/360ML (MENTA),700,0,0
,30,0,0,,CLORHIDRATO DE PAROXETINA 20MG C/10 TAB.,1877,0,0
,13,0,0,,RAMIPRIL 2.5MG C/16 TAB.,1928,0,0
,58,0,0,,CEFALEXINA 500MG C/20 CAP.,169,0,0
,100,0,0,,CLINDAMICINA 300MG C/16 CAP.,2680,0,0
,4,0,0,,PARACETAMOL 750MG C/12 TAB.,2582,0,0
,130,0,0,,CLORHIDRATO DE TRAMADOL 50MG C/10 CAP.,976,0,0
,14,0,0,,HIDROCLOROTIAZIDA 25MG C/20 TAB.,81,0,0
,4,0,0,,RANITIDINA 40MG FCO C/30ML,1930,0,0
,80,0,0,,LORATADINA + AMBROXOL 5MG/30MG/5ML JBE. C/120ML,376,0,0
,19,0,0,,BENZONATATO 100MG C/20 PERLAS,2880,0,0
,8,0,0,,LORATADINA + FENILEFRINA 5/30MG C/10 GRAGEAS,2845,0,0
,23,0,0,,DICLOFENACO POTASICO 15MG SUSP. GOTAS C/20ML,2611,0,0
,14,0,0,,CETIRIZINA 10MG C/10 TAB.,884,0,0
,250,0,0,,DICLOFENACO POTASICO 0.18MG/100 SUSP. FCO C/120ML,2807,0,0
,18,0,0,,PSYLLIUM PLANTAGO C/400GR,674,0,0
,200,0,0,,LORATADINA + BETAMETASONA 10MG/5MG SOL. C/60ML,2876,0,0
,20,0,0,,RANITIDINA 150MG JARABE FCO. C/200ML,1494,0,0
,118,0,0,,ATORVASTATINA 10MG C/20 TAB.,2762,0,0
,23,0,0,,BROMURO DE PINAVERIO 100MG C/14 TAB.,294,0,0
,35,0,0,,PENTOXIFILINA 400MG C/30 GRAGEAS,669,0,0
,31,0,0,,BEZAFIBRATO 400MG C/10 TAB.,1858,0,0
,78,0,0,,ATORVASTATINA 20MG C/10 TAB.,2761,0,0
,10,0,0,,AMOXICILINA + ACIDO CLAVULANICO 500MG/125MG C/10 TAB.,1454,0,0
,18,0,0,,LACTULOSA 66.66GR JARABE FCO. C/125ML,1881,0,0
,15,0,0,,ACIDO ASCORBICO + VITAMINA + VITAMINA C 1GR C/10 TAB.,2772,0,0
,31,0,0,,METACARBAMOL + PARACETAMOL 400/350MG C/30 TAB.,201,0,0
,39,0,0,,SERTRALINA 50MG C/14 TAB. RANURADAS,1497,0,0
,100,0,0,,FEXOFENADINA 120MG C/10 COMP.,93,0,0
,20,0,0,,LIDOCAINA + HIDROCORTISONA + SUBACETATO C/12 SUP.,896,0,0
,40,0,0,,CETIRIZINA SOL. FCO. C/50ML,885,0,0
,450,0,0,,LORATADINA + BETAMETASONA 5.0MG/0.25MG C/10 TAB.,1440,0,0
,16,0,0,,CLORURO DE SODIO Y GLICEROL 30ML ADTO. SOL. FCO C/30ML,2754,0,0
,20,0,0,,CITRATO DE SILDENAFIL 50MG C/4 TAB.,2790,0,0
,64,0,0,,SENOSIDOS A-B 374MG C/30 TAB.,789,0,0
,50,0,0,,AZITROMICINA 600MG FCO. SUSP. C/15ML,1855,0,0
,450,0,0,,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452,0,0
,16,0,0,,LEVOFLOXACINO 500MG C/7 TAB.,2621,0,0
,150,0,0,,FEXOFENADINA 180MG C/10 COMP.,2844,0,0
,17,0,0,,DESLORATADINA 50MG JARABE FCO C/120ML,69,0,0
,17,0,0,,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML,31,0,0
,400,0,0,,ATORVASTATINA 40MG C/10 TAB.,2763,0,0
,25,0,0,,POLIVITAMINAS CON MINERALES C/30 CAP.,886,0,0
,200,0,0,,TAMSULOSINA 0.4MG C/20 CAP.,2603,0,0
,14,0,0,,MUPIROCINA UNGUENTO 2% TUBO C/15GR,2657,0,0
,82,0,0,,PIOGLITAZONA 30MG C/7 TAB.,914,0,0
,26,0,0,,INDOMETACINA + METOCARBAMOL + BETAMETASONA 25/215/75MG C/20 TAB.,2660,0,0
,15,0,0,,GABAPENTINA 300MG C/30 CAP.,2643,0,0
,29,0,0,,CINITAPRIDA 1MG C/25 COMP.,2788,0,0
,11,0,0,,LEVOFLOXACINO 750MG C/7 TAB.,2737,0,0
,40,0,0,,MONTELUKAST SODICO 5MG C/20 COMP.,779,0,0
,18,0,0,,LEVOTIROXINA SODICA 25MCG C/50 TAB.,343,0,0
,15,0,0,,DIMENHIDRINATO JARABE FCO. C/120ML,284,0,0
,7,0,0,,CLOPIDOGREL 75MG C/28 TAB.,692,0,0
,21,0,0,,LOSARTAN + HIDROCLOROTIAZIDA 50MG/12.5MG C/30 COMP.,2620,0,0
,18,0,0,,HIDROXIPROPILMETILCELULOSA + DEXTRAN SOL OFT. GOTAS FCO C/15ML,613,0,0
,21,0,0,,MONTELUKAST SODICO 10MG C/20 COMP.,778,0,0
,300,0,0,,DESLORATADINA 5MG C/30 TAB.,45,0,0
,130,0,0,,DIMETICONA + GUAIAZULENE C/14 SOBRES,2689,0,0
,14,0,0,,METOTREXATO 50/2ML SOL. INY. C/1 AMP.,847,0,0
,29,0,0,,LEVOTIROXINA SODICA 50MCG C/50 TAB.,937,0,0
,13,0,0,,IVERMECTINA 6MG C/2 TAB.,442,0,0
,5,0,0,,GLUCONATO DE POTASIO GK C/10 SOBRES,1232,0,0
,700,0,0,,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NINO FCO. C/90 DISP. Y 1,2552,0,0
,22,0,0,,IPRATROPIO + SALBUTAMOL MONODOSIS 0.5MG/2.5MG NEBUL. C/10 AMP.,187,0,0
,33,0,0,,CITRATO DE CALCIO + VITAMINA D3 315MG C/60 TAB.,1361,0,0
,21,0,0,,DEFLAZACORT 6MG C/20 TAB.,2811,0,0
,60,0,0,,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,2786,0,0
,110,0,0,,PARACETAMOL 1GR C/20 TAB.,810,0,0
,32,0,0,,LEVOTIROXINA SODICA 75MCG C/50 TAB.,938,0,0
,37,0,0,,MAGALDRATO + DIMETICONA 8GR/1GR C/250ML,2591,0,0
,13,0,0,,MECLIZINA + PIRIDOXINA 25MG/50MG C/25 TAB.,2635,0,0
,13,0,0,,MEDIAS ELASTICAS MED. COMP DEBAJO DE LA RODILLAS MATERIAL DE CURACION (MEDIANA),1893,0,0
,12,0,0,,BETAMETASONA PEDIATRICA  50MG GOTAS FCO. C/60ML,171,0,0
,16,0,0,,CLONAZEPAM 2MG C/30 COMP. (II),2410,0,0
,20,0,0,,MEDROXIPROGESTERONA 10MG C/10 TAB.,1555,0,0
,21,0,0,,DIMETICONA + PANCREATINA + EXTRACTO SECO BILIS DE BUEY CELULOSA DEL ASPERGILLUS NIGER CON CAPA E C/50 GRAGEAS,327,0,0
,10,0,0,,ERDOSTEINA SOL. C/90ML,2963,0,0
,22,0,0,,POLIETILENGLICOL FCO. POLVO C/255GR,256,0,0
,200,0,0,,BETAMETASONA + FOSFATO SODICO 2.71/3MG C/1 JER. PRELLENADA,208,0,0
,10,0,0,,NIFEDIPINO 20MG LIB. PROL. C/28 COMP.,8,0,0
,45,0,0,,AMOXICILINA + ACIDO CLAVULANICO 600MG SUSP. C/50ML,1003,0,0
,8,0,0,,LACTOBACILLUS CASEI VARIEDAD RHAMNOSUS 250MG C/12 CAP.,510,0,0
,150,0,0,,PARGEVERINA + CLONIXINATO DE LISINA 10MG/125MG C/20  COMP.,694,0,0
,16,0,0,,METFORMINA 1GR C/30 TAB.,2872,0,0
,4,0,0,,TESTOSTERONA + ESTRADIOL 100MG/5MG C/1 JER. PRELLENADA,266,0,0
,19,0,0,,DICLOFENACO POTASICO 25MG C/20 GRAGEAS,165,0,0
,47,0,0,,LEVOTIROXINA SODICA 100MCG C/50 TAB.,502,0,0
,30,0,0,,BUDESONIDA 0.250MG/ML NEBUL. C/5 AMP. SOBRE 2ML,719,0,0
,10,0,0,,RISPERIDONA 1MG/ML SOL. FCO. C/60ML,2139,0,0
,20,0,0,,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,0,0
,34,0,0,,ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR,1550,0,0
,38,0,0,,METFORMINA 750MG LIB. PROL. C/30 TAB.,2711,0,0
,180,0,0,,VITAMINAS PRENATALES C/28 CAP.,1754,0,0
,50,0,0,,METRONIDAZOL + MICONAZOL 750MG/200MG C/7 OVULOS VAGINALES,1263,0,0
,12,0,0,,POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. ORAL FCO. SPRAY C/20ML,21,0,0
,25,0,0,,DILTIAZEM 90MG C/20 TAB.,28,0,0
,130,0,0,,DEXKETOPROFENO TROMETAMOL 25MG C/10 TAB.,1241,0,0
,15,0,0,,TRINITRATO DE GLICERILO 36MG x PARCHE (10MG/24 hrs C/7),2144,0,0
,20,0,0,,ERDOSTEINA 300MG C/20 CAP.,1820,0,0
,17,0,0,,ACIDO URSODESOXICOLICO 250MG C/50 CAP.,861,0,0
,13,0,0,,TRINITRATO DE GLICERILO 18MG x PARCHE (5MG/24 Hrs C/7),2143,0,0
,120,0,0,,BISOPROLOL 1.25MG C/30 GRAGEAS,252,0,0
,42,0,0,,ESPORAS DE BACILLUS CLAUSII 2 BILLONES UFC C/20 AMP.,1126,0,0
,40,0,0,,LORAZEPAM 2MG C/40 TAB. (II),575,0,0
,24,0,0,,ETINILESTRADIOL + DROSPIRENONA 0.03MG/3.0MG C/21 GRAGEAS,899,0,0
,15,0,0,,CICLESONIDA 50MCG SPRAY NASAL C/120 DOSIS,3009,0,0
,20,0,0,,ETAMSILATO 500MG C/20 COMP.,272,0,0
,29,0,0,,NUTRICION COMPLETA Y BALANCEADA CON FRUCTOOLISACARIDOS CUALQUIER SABOR LATA EN POLVO C/400GR,2557,0,0
,20,0,0,,FEXOFENADINA + FENILEFRINA 60MG/25MG C/10 TAB.,2579,0,0
,35,0,0,,CLOBETASOL 0.050% TUBO C/30GR,227,0,0
,35,0,0,,OXIBUTININA 5MG C/30 TAB.,615,0,0
,300,0,0,,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304,0,0
,10,0,0,,FOSFOMICINA 500MG C/12 CAP.,2242,0,0
,15,0,0,,NORELGESTROMINA + ETINILESTRADIOL C/3 PARCHES TRASDERMICO,1922,0,0
,141,0,0,,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,836,0,0
,59,0,0,,DEXLANSOPRAZOL 30MG C/14 CAP.,2953,0,0
,19,0,0,,FEXOFENADINA 6MG/ML SUSP. FCO. C/150ML,2553,0,0
,20,0,0,,SULFATO DE AMANTADINA 100MG C/30 TAB.,703,0,0
,10,0,0,,REPAGLINIDA 2MG C/30 COMP.,1042,0,0
,40,0,0,,ACIDO TIAPROFENICO 300MG C/30 COMP.,772,0,0
,184,0,0,,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919,0,0
,25,0,0,,DICLOFENACO + COLESTIRAMINA 140MG C/20 CAP.,2548,0,0
,19,0,0,,BISOPROLOL 2.5MG C/30 GRAGEAS,206,0,0
,10,0,0,,MESALAZINA 1GR C/14 SUP.,969,0,0
,34,0,0,,MOMETASONA 0.05% SPRAY NASAL PED. C/10ML Y 60 NEBUL.,735,0,0
,40,0,0,,POLIETILENGLICOL+ PROPILENGLICOL GOTAS OFT. FCO. C/15ML,996,0,0
,40,0,0,,ESOMEPRAZOL 10MG C/28 SOBRES GRANULADOS,2281,0,0
,8,0,0,,DICLOFENACO + CODEINA 50MG/50MG C/20 TAB. ,2960,0,0
,10,0,0,,CARBAMAZEPINA 400MG C/20 GRAGEAS,815,0,0
,6,0,0,,ALFARE POLVO LATA C/400GR,2469,0,0
,48,0,0,,CARBOXIMETILCELULOSA SODICA 0.5% SOL. OFT. GOTAS C/15ML,754,0,0
,21,0,0,,SAXAGLIPITINA + METFORMINA 2.5MG/1000MG C/28 TAB.,2926,0,0
,8,0,0,,CINOSTAZOL 100MG C/30 TAB.,2949,0,0
,31,0,0,,DIACEREINA 50MG C/30 CAP.,226,0,0
,31,0,0,,SULFATO DE HIDROXICLOROQUINA 200MG C/20 TAB.,675,0,0
,20,0,0,,METFORMINA + VILDAGLIPTINA 50MG/500MG C/30 COMP. RECUBIERTOS,1968,0,0
,6,0,0,,PARECOXIB SODICO 40MG/2ML INY. C/2 AMP.,1481,0,0
,21,0,0,,LAMOTRIGINA 50MG /28 TAB.,1774,0,0
,28,0,0,,DAPAGLIFOZINA 10MG C/14 TAB.,2952,0,0
,37,0,0,,SITAGLIPTINA 100MG C/14 COMP.,456,0,0
,19,0,0,,TELMISARTAN 80MG C/ 28 TAB.,2575,0,0
,17,0,0,,INSULINA LISPRO + PROTAMINA 2X3ML C/300 UNIDADES,420,0,0
,20,0,0,,CARVEDILOL 25MG C/14 TAB.,2594,0,0
,200,0,0,,ETORICOXIB 120MG C/7 COMP.,941,0,0
,40,0,0,,CABERGOLINA 0.5MG C/2 TAB.,282,0,0
,15,0,0,,TRIAMCINOLONA 56.10MG SUSP. FCO C/16.5ML,610,0,0
,50,0,0,,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",2576,0,0
,18,0,0,,BRIMONIDINA + TIMOLOL 0.2%/0.5% SOL. OFT. FCO. C/5ML,225,0,0
,100,0,0,,EBASTINA 20MG C/30 OBLEAS,1053,0,0
,50,0,0,,ACIDO TIOCTICO 600MG C/30 TAB.,848,0,0
,25,0,0,,VALPROATO SEMISODICO ER 500MG LIB. PROL. C/30 TAB.,2193,0,0
,16,0,0,,ESTROGENOS CONJUGADOS DE ORIGEN EQUINO TUBO C/43GR,679,0,0
,69,0,0,,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341,0,0
,25,0,0,,ESCITALOPRAM 10MG C/28 TAB.,497,0,0
,50,0,0,,ETORICOXIB 90MG C/14 COMP.,965,0,0
,65,0,0,,PREGABALINA 75MG C/28 CAP.,512,0,0
,11,0,0,,SALMETEROL + FLUTICASONA 25MCG/50MCG 12GR FCO. C/120 DOSIS,786,0,0
,21,0,0,,GLIMEPERIDINA + METFORMINA 1000MG/4MG C/16 TAB.,1868,0,0
,4,0,0,,CLOZAPINA 100MG C/30 TAB. (II),606,0,0
,15,0,0,,INSULINA LISPRO C/1000 UNIDADES,419,0,0
,35,0,0,,FENOFIBRATO 160MG C/30 CAP.,1190,0,0
,6,0,0,,MESALAZINA ENEMA 60ML C/3,2971,0,0
,10,0,0,,ARIPIPRAZOL 15MG C/10 TAB.,50,0,0
,67,0,0,,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924,0,0
,13,0,0,,SAXAGLIPITINA + METFORMINA 5MG/1000MG C/28 TAB.,2929,0,0
,24,0,0,,TELMISARTAN + HIDROCLOROTIAZIDA 80MG/12.5MG C/28 TAB.,561,0,0
,30,0,0,,VALSARTAN 160MG C/30 GRAGEAS,1767,0,0
,13,0,0,,HEMITARTRATO DE ZOLPIDEM 10MG C/30 TAB. (III),632,0,0
,50,0,0,,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,1368,0,0
,35,0,0,,VALSARTAN + HIDROCLORTIAZIDA 160MG/25MG C/30 GRAGEAS,233,0,0
,38,0,0,,VILDAGLIPTINA + METFORMINA 50MG/850MG C/60 COMP.,2924,0,0
,13,0,0,,TRIAZOLAM 0.250MG C/30 TAB.,582,0,0
,77,0,0,,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910,0,0
,12,0,0,,OLANZAPINA + FLUOXETINA 6/25MG C/14 CAP.,1180,0,0
,30,0,0,,VENLAFAXINA 75MG C/20 CAP.,602,0,0
,40,0,0,,CLORHIDRATO DE ALFUZOSINA 10MG LIB. PROL. C/28 TAB.,893,0,0
,129,0,0,,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,0,0
,15,0,0,,QUETIAPINA 300MG C/30 TAB. LIB PROL.,2353,0,0
,10,0,0,,RIVAROXABAN 20MG C/28 COMP.,2937,0,0
,10,0,0,,BUPRENORFINA 30MG C/4 PARCHES (II),2758,0,0
