FORMATO DE REQUISICI?N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-sep-16,,,
,8,,,,EPLERENONA 25MG C/30 TAB.,445,,,
,8,,,,CINOSTAZOL 100MG C/30 TAB.,2949,,,
,8,,,,PREDNISOLONA 100MG SOL. FCO. C/100ML,388,,,
,8,,,,OXIBUTININA 100MG/100ML FCO C/120ML,614,,,
,8,,,,ERDOSTEINA SOL. C/90ML,2963,,,
,8,,,,FLEET FOSFOSODA SOL. ORAL C/45ML,2965,,,
,8,,,,FUROSEMIDA 20MG C/36 TAB.,484,,,
,8,,,,HIERRO DEXTRAN 100MG/2ML SOL. INY. C/3 AMP.,425,,,
,8,,,,TERAZOSINA 2MG ENV. C/20 TAB.,837,,,
,8,,,,SUBSALICILATO DE BISMUTO SUSP. FCO C/120ML,2868,,,
,10,,,,DESVENLAFAXINA 100ML C/28 COMP.,2899,,,
,7,,,,ARIPIPRAZOL 15MG C/10 TAB.,50,,,
,7,,,,MESALAZINA 1GR C/30 SOBRES GRANULADOS,1526,,,
,10,,,,MICONAZOL 2% TUBO GEL ORAL C/78GR,259,,,
,7,,,,LEVOCETIRIZINA SOL. INFANTIL C/150ML,2735,,,
,7,,,,DIGOXINA 0.25MG C/60 TAB.,2816,,,
,7,,,,RIMANTADINA 100MG C/14 CAP.,2393,,,
