,,,,FORMATO DE REQUISICI?N,,,,
,20,2.18,16,18/04/2016,BOLSA RECOLECTORA DE ORINA NINO,,,$43.60
,1,6315,16,18/04/2016,BOTON GRASTOMIA MIC-KEY 24FR POR 17MM,,,"$6,315.00"
,2,2237,16,18/04/2016,"COBAS INTEGRA UA2, TRIG 250",,,"$4,474.00"
,3,6328,16,18/04/2016,CELLPACK 20L (PK30L),,,"$18,984.00"
,5,5698,16,18/04/2016,"CALSET PROGESTERONA,FT3,FT4",,,"$28,490.00"
,5,7451,16,18/04/2016,"COMBITROL PLUS LEVEL 1,2,3",,,"$37,255.00"
,1,225,16,18/04/2016,CAJA HOJA DE BISTURI AL CARBON No.15,,,$225.00
,2,985,16,18/04/2016,CAJA DE TUBO LATEX P/ASPIRACION,,,"$1,970.00"
,6,196,16,18/04/2016,"CAJA CINTA MICROPORE 1.25 1/2""",,,"$1,176.00"
,35,750,16,18/04/2016,"CAJA INTROCAN CERTO NUM 16,18,20,22",,,"$26,250.00"
,100,11.25,16,18/04/2016,CAMPO SENCILLO 60X60 CM. ESTERIL,,,"$1,125.00"
,200,15,16,18/04/2016,CAMPO ESTERIL HENDIDO 50X70 C/ADHESIVO,,,"$3,000.00"
,1,622,16,18/04/2016,CATETER SURFLASH 20 G. C/50,,,$622.00
,6,225,16,18/04/2016,CINTA TRANSPORE,,,"$1,350.00"
,30,90,16,18/04/2016,COMPRESA 70X45 C/6,,,"$2,700.00"
,10,219,16,18/04/2016,CONOS P/OTOSCOPIO ADULTO,,,"$2,190.00"
,9,112.5,16,18/04/2016,CUBRE ZAPATO SMS AZUL 100 PZAS.,,,"$1,012.50"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, $-   
,,,,,,,,"$240,047.81"
,,,,,,,,"$38,407.65"
,,,,,,,,"$278,455.46"
