,130,23.29,0,07/11/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL SOLUCION PED. GOTAS 30 ML.,,,,"$3,027.70",,,
,400,6.9,0,07/11/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,"$2,760.00",,,
,100,33.9,0,07/11/2016,DICLOFENACO POTASICO GOTAS PED. 15MG/1ML FCO.,,,,"$3,390.00",,,
,300,11,0,07/11/2016,IPRATROPIO + SALBUTAMOL 50MG/2.5MG AMP.,,,,"$3,300.00",,,
,180,17,0,07/11/2016,ONDANSETRON 8MG AMP.,,,,"$3,060.00",,,
,4,584,0,07/11/2016,CLORHIDRATO DE MOXIFLOXACINO 400MG SOL. INY. // PATENTE,,,,"$2,336.00",,,
,100,28,0,07/11/2016,ACETATO DE METILPREDNISOLONA 40MG/2ML ,,,,"$2,800.00",,,
,200,13.5,0,07/11/2016,PARACETAMOL 160MG JBE FCO.,,,,"$2,700.00",,,
,10,266.5,0,07/11/2016,BROMURO DE ROCURONIO 50MG/5ML AMP.,,,,"$2,665.00",,,
,70,37,0,07/11/2016,ERITROMICINA SUSP. 250MG,,,,"$2,590.00",,,
,10,117.6,0,07/11/2016,SOLDRIN OTICO 10ML,,,,"$1,176.00",,,
,10,230,0,07/11/2016,NEOMICINA + POLIMIXINA B + BACITRACINA UNGUENTO DERMICO // PATENTE,,,,"$2,300.00",,,
,5000,0.45,0,07/11/2016,PARACETAMOL 500MG TAB. C/10,,,,"$2,250.00",,,
,2,720,0,07/11/2016,SERETIDE   INHALADOR  ,,,,"$1,440.00",,,
,100,21,0,07/11/2016,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY C/ 5,,,,"$2,100.00",,,
,6,350,0,07/11/2016,ENOXAPARINA SODICA 60MG/0.6ML JER. PRELLENADA,,,,"$2,100.00",,,
,8,196,0,07/11/2016,TRITICUM VULGARE CREMA  ITALDERMOL  ,,,,"$1,568.00",,,
,3,477,0,07/11/2016,HISTOACRIL (PEGAMENTO PARA HERIDAS),,,,"$1,431.00",,,
,5,268,0,07/11/2016,SALBUTAMOL 5ML SOLUCION,,,,"$1,340.00",,,
,18,70.5,0,07/11/2016,LIBERTRIM SOL. INY 0.050GR/ 5ML C/6 AMP TRIMEBUTINA,,,,"$1,269.00",,,
,60,21,0,07/11/2016,BROMURO DE BUTILHIOSCINA + METAMIZOL 20MG/25GR DE 5ML COMP. AMP.,,,,"$1,260.00",,,
,50,22,0,07/11/2016,DIMETICONA SUSP. GOTAS 100MG,,,,"$1,100.00",,,
,700,1.49,0,07/11/2016,DICLOXACILINA 500MG CAP.C/20,,,,"$1,043.00",,,
,900,1.13,0,07/11/2016,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,,"$1,017.00",,,
,2000,0.47,0,07/11/2016,DICLOFENACO 100MG TAB.C/20,,,,$940.00,,,
,10,93.8,0,07/11/2016,DOBUJECT 250 MG/5ML SOL. INY. // PATENTE,,,,$938.00,,,
,740,1.178571429,0,07/11/2016,TRIMETROPRIMA + SULFAMETOXAZOL 160MG/800MG TABS C/14,,,,$872.14,,,
,70,11.5,0,07/11/2016,DEXTROMETORFANO 15MG/5ML JARABE FCO.,,,,$805.00,,,
,20,26,0,07/11/2016,TRIMEBUTINA SUSP. JUNIOR DE 2GR/100ML FCO. C/100ML ,,,,$520.00,,,
,280,1.7,0,07/11/2016,CIPROFLOXACINO 500MG COMP.,,,,$476.00,,,
,150,3.3,0,07/11/2016,RANITIDINA 50MG AMP.,,,,$495.00,,,
,500,0.8,0,07/11/2016,LORATADINA 10MG GRAGEAS C/20,,,,$400.00,,,
,80,5,0,07/11/2016,TRAMADOL 2ML AMP.,,,,$400.00,,,
,50,7.9,0,07/11/2016,CLINDAMICINA 300MG AMP.,,,,$395.00,,,
,200,1.97,0,07/11/2016,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,,$394.00,,,
,20,19.7,0,07/11/2016,FLOROGLUCINOL + TRIMETILFLOROGLUCINOL 2ML SOL. INY. // PATENTE,,,,$394.00,,,
,100,3.75,0,07/11/2016,METAMIZOL 2.5GR/5ML AMP.,,,,$375.00,,,
,20,16.5,0,07/11/2016,DICLOXACILINA SUSP. 250MG FCO.,,,,$330.00,,,
,100,2.76,0,07/11/2016,NAPROXEN/PARACETAMOL SUPOSITORIOS,,,,$276.00,,,
,300,0.89,0,07/11/2016,MECLIZINA + PIRIDOXINA 25MG / 50 MG C/20 TAB.,,,,$267.00,,,
,50,4.6,0,07/11/2016,DIFENIDOL 40 MG/2ML SOL. INY.,,,,$230.00,,,
,12,14,0,07/11/2016,DIGOXINA 0.25 MG/ML SOL. INY. C/6,,,,$168.00,,,
,40,3.8,0,07/11/2016,CLONIXINATO DE LISINA SOL. INY. 100MG/ML,,,,$152.00,,,
,10,15,0,07/11/2016,HIDROXIDO DE MAGNESIO LECHE 180 ML,,,,$150.00,,,
,6,23.66,0,07/11/2016,METILSULFATO DE NEOSTIGMINA 0.5MGX1ML SOL. INY.,,,,$141.96,,,
,300,0.33,0,07/11/2016,DIFENIDOL 25MG TAB.C/30,,,,$99.00,,,
,20,4.333333333,0,07/11/2016,GLICEROL 1.380GR SUP.,,,,$86.67,,,
,100,0.85,0,07/11/2016,IBUPROFENO TABS 400 MG IBUPROFENO,,,,$85.00,,,
,20,0.6,0,07/11/2016,NIFEDIPINO 10MG CAP.,,,,$12.00,,,
,60,0.22,0,07/11/2016,CAPTOPRIL 25MG TAB.C/30,,,,$13.20,,,
,4,2.67,0,07/11/2016,KETOROLACO  TAB SUBLINGUAL  30MG  ,,,,$10.68,,,
,20,0.33,0,07/11/2016,METOPROLOL 100MG TAB.,,,,$6.60,,,
,40,7,0,07/11/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.C/5,,,,$280.00,,,280
