MED4455,50,0.21,0,24/02/2016,Glibenclamida 5MG C/50 TAB,,CAJA C/50,$10.50,$10.50,50
MED4468,30,0.65,0,24/02/2016,METFORMINA TAB 850 MG,,CAJA C/30,$19.50,$19.50,30
MED4480,60,0.7,0,24/02/2016,CLORFENAMINA COMPUESTA,,CAJA C/10,$7.00,$42.00,10
MED4481,12,19.33333333,0,24/02/2016,COMPLEJO B C/DEXAMETASONA LIDOCAINA INY,,CAJA C/3,$58.00,$232.00,3
MED4482,12,15,0,24/02/2016,COMPLEJO B C/DICLOFENACO INY,,CAJA C/3,$45.00,$180.00,3
MED4483,90,0.833333333,0,24/02/2016,"COMPLEJO B CON DICLOFENACO TAB,",,CAJA C/30,$25.00,$75.00,30
MED4484,80,1.65,0,24/02/2016,LORATADINA / AMBROXOL ,,CAJA C/,$16.50,$132.00,10
MED4491,150,18.6,0,24/02/2016,DOLONEUROBION TAB,,CAJA C/10,$186.00,"$2,790.00",10
MED4494,1,17,0,24/02/2016,GOTA DEX OFTALMICAS,,PIEZA,$17.00,$17.00,1
MAT0916,50,5.4,16,24/02/2016,TIRAS REACTIVAS DE GLUCOMETRO ACCU CHEK PERFORMANCE,,CAJA C/50,$270.00,$270.00,50
MAT0588,200,1.525,16,24/02/2016,LANCETAS,,CAJA C/200,$305.00,$305.00,200
MED4507,1,9,16,24/02/2016,MERTHIOLATE BLANCO,,PIEZA,$9.00,$9.00,1
MAT0485,100,0.6,16,24/02/2016,GASAS ESTERILIZADA DE 7.5X5 CM,,CAJA C/100,$60.00,$60.00,100
MAT4510,1,55,16,24/02/2016,COLD PACK,,PIEZA,$55.00,$55.00,1
MAT4509,1,55,16,24/02/2016,HOT PACK,,PIEZA,$55.00,$55.00,1
MED1026,100,0.6,0,24/02/2016,ALUMINIO Y MAGNECIO TAB.,,50,30,$60.00,50
MED0266,56,0.677857143,0,24/02/2016,OMEPRAZOL,,,$9.49,$37.96,14
