FORMATO DE REQUISICIàN,,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
,,,,,,DANIEL ACOSTA,,,,
,20,0,0,2015-09-14,ACIDO ASCORBICO + VITAMINA + VITAMINA C 1GR C/10 TAB.,2772,,,,$0.00
,9,0,0,2015-09-14,"ACIDO ASCORBICO + VITAMINA A + ERGOCALCIFERO VIT. A,C,D SOL. GOTAS C/15ML",2770,,,,$0.00
,6,0,0,2015-09-14,ACIDO ASCORBICO 500MG C/100 TAB.,175,,,,$0.00
,367,0,0,2015-09-14,ACIDO FOLICO 5MG C/50 TAB.,52,,,,$0.00
,83,0,0,2015-09-14,ACIDO IBANDRONICO 150MG C/1 COMP.,1154,,,,$0.00
,26,0,0,2015-09-14,ACIDO MEFENAMICO 500MG C/20 TAB.,2773,,,,$0.00
,104,0,0,2015-09-14,ACIDO NALIDIXICO + FENAZOPIRIDINA 500MG/50MG C/20 TAB.,2775,,,,$0.00
,9,0,0,2015-09-14,ACIDO POLIACRILICO GEL OFTALMICO TUBO C/10GR,879,,,,$0.00
,49,0,0,2015-09-14,ACIDO RETINOICO TUBO CREMA C/20GR,1432,,,,$0.00
,83,0,0,2015-09-14,ACIDO TIAPROFENICO 300MG C/30 COMP.,772,,,,$0.00
,118,0,0,2015-09-14,ACIDO TIOCTICO 600MG C/30 TAB.,848,,,,$0.00
,182,0,0,2015-09-14,ACIDO URSODESOXICOLICO 250MG C/50 CAP.,861,,,,$0.00
,16,0,0,2015-09-14,ACIDO VALPROICO 250MG C/30 CAP.,264,,,,$0.00
,70,0,0,2015-09-14,ACIDO VALPROICO JARABE 250MG C/120ML,290,,,,$0.00
,4,0,0,2015-09-14,ACIDO ZOLEDRONICO 4MG AMP. FCO. 5ML,907,,,,$0.00
,51,0,0,2015-09-14,ADALIMUMAB 40MG JER. PRELLENEDA,2016,,,,$0.00
,35,0,0,2015-09-14,ADAPALENE 1% CREMA C/30GR,1552,,,,$0.00
,952,0,0,2015-09-14,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NI¾O FCO. C/90 DISP. Y 1,2552,,,,$0.00
,28,0,0,2015-09-14,ALBENDAZOL 200MG C/2 TAB.,957,,,,$0.00
,30,0,0,2015-09-14,ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML,95,,,,$0.00
,157,0,0,2015-09-14,ALENDRONATO SODICO 70MG C/4 TAB.,1945,,,,$0.00
,166,0,0,2015-09-14,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,,,,$0.00
,12,0,0,2015-09-14,ALFAMETILDOPA 250MG C/30 TAB.,426,,,,$0.00
,22,0,0,2015-09-14,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,,,,$0.00
,139,0,0,2015-09-14,ALMOTRIPTAN 12.5MG C/2 COMP.,2942,,,,$0.00
,12,0,0,2015-09-14,ALOGLUTAMOL 500MG C/20 COMP.,758,,,,$0.00
,320,0,0,2015-09-14,ALOPURINOL 300MG C/20 TAB.,54,,,,$0.00
,110,0,0,2015-09-14,ALPRAZOLAM 0.25MG C/30 TAB. (II),2778,,,,$0.00
,37,0,0,2015-09-14,ALPRAZOLAM 0.50MG C/30 TAB. (II),2779,,,,$0.00
,25,0,0,2015-09-14,ALPRAZOLAM 1MG C/30 COMP. (II),1448,,,,$0.00
,14,0,0,2015-09-14,ALTHERA POLVO LATA C/450GR,2019,,,,$0.00
,,,,,,,,,,$0.00
