STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,,,,,,,,,,,,,,,
,630,0,0,2016-08-03,DEXTROMETORFANO + GUAIFENESINA JARABE INFANTIL C/120ML,1886,,,,,,,,,,,,,,,,,,,
,630,0,0,2016-08-03,NAPROXENO SODICO + PARACETAMOL 275MG/300MG C/10 TAB.,2647,,,,,,,,,,,,,,,,,,,
,609,0,0,2016-08-03,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,1368,,,,,,,,,,,,,,,,,,,
,593,0,0,2016-08-03,DEXLANSOPRAZOL 30MG C/14 CAP.,2953,,,,,,,,,,,,,,,,,,,
,578,0,0,2016-08-03,CARBOXIMETILCELULOSA SODICA 0.5% SOL. OFT. GOTAS C/15ML,754,,,,,,,,,,,,,,,,,,,
,575,0,0,2016-08-03,ETORICOXIB 90MG C/14 COMP.,965,,,,,,,,,,,,,,,,,,,
,472,0,0,2016-08-03,MELOXICAM 7.5MG C/14 TAB.,2623,,,,,,,,,,,,,,,,,,,
,525,0,0,2016-08-03,METFORMINA 500MG C/30 TAB.,310,,,,,,,,,,,,,,,,,,,
,525,0,0,2016-08-03,FLUCONAZOL 150MG C/1 CAP.,373,,,,,,,,,,,,,,,,,,,
,525,0,0,2016-08-03,DICLOFENACO SODICO 100MG LIB. PROL. C/20 GRAGEAS,292,,,,,,,,,,,,,,,,,,,
,525,0,0,2016-08-03,"PENICILINA PROCAINICA + BENCILPENICILINA 800,000UI + 1 AMP. DILUYENTE C/2ML",687,,,,,,,,,,,,,,,,,,,
,525,0,0,2016-08-03,IBUPROFENO 200MG C/10 TAB.,2802,,,,,,,,,,,,,,,,,,,
,525,0,0,2016-08-03,BROMURO DE BUTILHIOSCINA + METAMIZOL 10MG/250MG C/10 GRAGEAS,2587,,,,,,,,,,,,,,,,,,,
,525,0,0,2016-08-03,LOPERAMIDA 2MG C/12 TAB.,515,,,,,,,,,,,,,,,,,,,
,490,0,0,2016-08-03,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452,,,,,,,,,,,,,,,,,,,
,479,0,0,2016-08-03,CEFALEXINA 500MG C/20 CAP.,169,,,,,,,,,,,,,,,,,,,
,473,0,0,2016-08-03,PARACETAMOL 750MG C/10 TAB.,2582,,,,,,,,,,,,,,,,,,,
,456,0,0,2016-08-03,LEVOTIROXINA SODICA 100MCG C/50 TAB.,502,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,CIPROFLOXACINO 500MG C/12 COMP.,2885,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,ESPORAS DE BACILLUS CLAUSII 2 BILLONES UFC C/20 AMP.,1126,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,ATORVASTATINA 40MG C/10 TAB.,2763,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,LORATADINA + BETAMETASONA 5.0MG/0.25MG C/10 TAB.,1440,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,IBUPROFENO 2GR/100ML SUSP. 120ML,55,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG C/15 TAB.,2664,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA 100MG/5MG/50MCG C/30 TAB.,2797,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,ALOPURINOL 300MG C/20 TAB.,54,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,LOSARTAN 50MG C/30 TAB.,2602,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,CIPROFLOXACINO 250MG C/12 TAB,924,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,AZITROMICINA 500MG C/3 TAB.,1854,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,KETOCONAZOL TUBO CREMA C/30GR,472,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,RANITIDINA 150MG C/20 TAB.,2630,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-08-03,PARACETAMOL ORAL GOTAS C/15ML,2648,,,,,,,,,,,,,,,,,,,
,405,0,0,2016-08-03,AMOXICILINA + ACIDO CLAVULANICO 600MG SUSP. C/50ML,1003,,,,,,,,,,,,,,,,,,,
,383,0,0,2016-08-03,FENOFIBRATO 160MG C/30 CAP.,1190,,,,,,,,,,,,,,,,,,,
,383,0,0,2016-08-03,SITAGLIPTINA 100MG C/14 COMP.,456,,,,,,,,,,,,,,,,,,,
,380,0,0,2016-08-03,SERTRALINA 50MG C/14 TAB. RANURADAS,1497,,,,,,,,,,,,,,,,,,,
,378,0,0,2016-08-03,VILDAGLIPTINA + METFORMINA 50MG/850MG C/60 COMP.,2924,,,,,,,,,,,,,,,,,,,
,376,0,0,2016-08-03,MELOXICAN + METOCARBAMOL 15MG/215MG C/10 CAP.,2801,,,,,,,,,,,,,,,,,,,
,372,0,0,2016-08-03,GLICERINA + CARBOXIMETILCELULOSA SODICA SOL. OFT. FCO. C/15ML,1376,,,,,,,,,,,,,,,,,,,
,368,0,0,2016-08-03,BEZAFIBRATO 400MG C/10 TAB.,1858,,,,,,,,,,,,,,,,,,,
,368,0,0,2016-08-03,VITAMINAS + MINERALES PRENATALES C/30 TAB.,1678,,,,,,,,,,,,,,,,,,,
,368,0,0,2016-08-03,RANITIDINA 300MG C/10 COMP.,2663,,,,,,,,,,,,,,,,,,,
,357,0,0,2016-08-03,DICLOFENACO SODICO + B1 + B6 +B12 50MG/50MG/50MG/0.25MG C/30 GRAGEAS,377,,,,,,,,,,,,,,,,,,,
,350,0,0,2016-08-03,MAGALDRATO + DIMETICONA 8GR/1GR C/250ML,2591,,,,,,,,,,,,,,,,,,,
,348,0,0,2016-08-03,LORATADINA 10MG C/20 GRAGEAS,496,,,,,,,,,,,,,,,,,,,
,193,0,0,2016-08-03,METFORMINA 750MG LIB. PROL. C/30 TAB.,2711,,,,,,,,,,,,,,,,,,,
,341,0,0,2016-08-03,ACIDO FOLICO 5MG C/50 TAB.,52,,,,,,,,,,,,,,,,,,,
,337,0,0,2016-08-03,DIMETICONA + PANCREATINA + EXTRACTO SECO BILIS DE BUEY CELULOSA DEL ASPERGILLUS NIGER CON CAPA E C/50 GRAGEAS,327,,,,,,,,,,,,,,,,,,,
,329,0,0,2016-08-03,DIACEREINA 50MG C/30 CAP.,226,,,,,,,,,,,,,,,,,,,
,178,0,0,2016-08-03,VALSARTAN + HIDROCLORTIAZIDA 160MG/25MG C/30 GRAGEAS,233,,,,,,,,,,,,,,,,,,,
,328,0,0,2016-08-03,EXTRACTO DE CASTANA DE LA INDIA C/30 GRAGEAS,867,,,,,,,,,,,,,,,,,,,
,327,0,0,2016-08-03,SULFATO DE HIDROXICLOROQUINA 200MG C/20 TAB.,675,,,,,,,,,,,,,,,,,,,
,326,0,0,2016-08-03,MOMETASONA 0.05% SPRAY NASAL PED. C/10ML Y 60 NEBUL.,735,,,,,,,,,,,,,,,,,,,
,109,0,0,2016-08-03,ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR,1550,,,,,,,,,,,,,,,,,,,
,271,0,0,2016-08-03,VALSARTAN 160MG C/30 GRAGEAS,1767,,,,,,,,,,,,,,,,,,,
,315,0,0,2016-08-03,CITRATO DE CALCIO + VITAMINA D3 315MG C/60 TAB.,1361,,,,,,,,,,,,,,,,,,,
,313,0,0,2016-08-03,LORATADINA + BETAMETASONA 10MG/5MG SOL. C/60ML,2876,,,,,,,,,,,,,,,,,,,
,310,0,0,2016-08-03,LEVOTIROXINA SODICA 75MCG C/50 TAB.,938,,,,,,,,,,,,,,,,,,,
,310,0,0,2016-08-03,LEVOTIROXINA SODICA 50MCG C/50 TAB.,937,,,,,,,,,,,,,,,,,,,
,308,0,0,2016-08-03,METACARBAMOL + PARACETAMOL 400/350MG C/30 TAB.,201,,,,,,,,,,,,,,,,,,,
,203,0,0,2016-08-03,DESLORATADINA 5MG C/30 TAB.,45,,,,,,,,,,,,,,,,,,,
,40,0,0,2016-08-03,DICLOFENACO POTASICO 0.18MG/100 SUSP. FCO C/120ML,2807,,,,,,,,,,,,,,,,,,,
,301,0,0,2016-08-03,AMBROXOL SOL. ORAL FCO. C/120ML,22,,,,,,,,,,,,,,,,,,,
,104,0,0,2016-08-03,ENALAPRIL 10MG C/30 TAB.,2679,,,,,,,,,,,,,,,,,,,
,293,0,0,2016-08-03,CLORHIDRATO DE PAROXETINA 20MG C/10 TAB.,1877,,,,,,,,,,,,,,,,,,,
,290,0,0,2016-08-03,CINITAPRIDA 1MG C/25 COMP.,2788,,,,,,,,,,,,,,,,,,,
,281,0,0,2016-08-03,BROMURO DE PINAVERIO 100MG C/14 TAB.,294,,,,,,,,,,,,,,,,,,,
,275,0,0,2016-08-03,NUTRICION COMPLETA Y BALANCEADA CON FRUCTOOLISACARIDOS CUALQUIER SABOR LATA EN POLVO C/400GR,2557,,,,,,,,,,,,,,,,,,,
,272,0,0,2016-08-03,BROMURO DE BUTILHIOSCINA 10MG C/10 TAB.,131,,,,,,,,,,,,,,,,,,,
,271,0,0,2016-08-03,DEFLAZACORT 6MG C/20 TAB.,2811,,,,,,,,,,,,,,,,,,,
,270,0,0,2016-08-03,PSYLLIUM PLANTAGO C/400GR,674,,,,,,,,,,,,,,,,,,,
,267,0,0,2016-08-03,LORATADINA + FENILEFRINA SOL. INF. C/60ML,2618,,,,,,,,,,,,,,,,,,,
,265,0,0,2016-08-03,DAPAGLIFOZINA 10MG C/14 TAB.,2952,,,,,,,,,,,,,,,,,,,
,253,0,0,2016-08-03,INDOMETACINA + METOCARBAMOL + BETAMETASONA 25/215/75MG C/20 TAB.,2660,,,,,,,,,,,,,,,,,,,1
,253,0,0,2016-08-03,TELMISARTAN + HIDROCLOROTIAZIDA 80MG/12.5MG C/28 TAB.,561,,,,,,,,,,,,,,,,,,,
,248,0,0,2016-08-03,KETOROLACO 30MG SUBLINGUAL C/4 TAB.,1431,,,,,,,,,,,,,,,,,,,
,246,0,0,2016-08-03,AMOXICILINA 500MG C/12 CAP.,98,,,,,,,,,,,,,,,,,,,
,242,0,0,2016-08-03,TAMSULOSINA 0.4MG C/20 CAP.,2603,,,,,,,,,,,,,,,,,,,
,240,0,0,2016-08-03,ESCITALOPRAM 10MG C/28 TAB.,497,,,,,,,,,,,,,,,,,,,
,236,0,0,2016-08-03,POLIVITAMINAS CON MINERALES C/30 CAP.,886,,,,,,,,,,,,,,,,,,,
,231,0,0,2016-08-03,ETINILESTRADIOL + DROSPIRENONA 0.03MG/3.0MG C/21 GRAGEAS,899,,,,,,,,,,,,,,,,,,,
,228,0,0,2016-08-03,ETORICOXIB 120MG C/7 COMP.,941,,,,,,,,,,,,,,,,,,,
,227,0,0,2016-08-03,LORATADINA + FENILEFRINA 5/30MG C/10 GRAGEAS,2845,,,,,,,,,,,,,,,,,,,
,153,0,0,2016-08-03,METFORMINA + VILDAGLIPTINA 50MG/500MG C/30 COMP. RECUBIERTOS,1968,,,,,,,,,,,,,,,,,,,
,217,0,0,2016-08-03,MICONAZOL 2% TUBO CREMA C/20GR,534,,,,,,,,,,,,,,,,,,,
,215,0,0,2016-08-03,DICLOFENACO POTASICO 15MG SUSP. GOTAS C/20ML,2611,,,,,,,,,,,,,,,,,,,
,213,0,0,2016-08-03,PARACETAMOL JARABE FCO. C/120ML,2691,,,,,,,,,,,,,,,,,,,
,212,0,0,2016-08-03,GLIMEPERIDINA + METFORMINA 1000MG/4MG C/16 TAB.,1868,,,,,,,,,,,,,,,,,,,
,212,0,0,2016-08-03,SAXAGLIPITINA + METFORMINA 2.5MG/1000MG C/28 TAB.,2926,,,,,,,,,,,,,,,,,,,
,211,0,0,2016-08-03,PARGEVERINA + CLONIXINATO DE LISINA 10MG/125MG C/20  COMP.,694,,,,,,,,,,,,,,,,,,,
,210,0,0,2016-08-03,TIAMINA + PIRIDOXINA + DEXAMETASONA + CIANOCOBALAMINA + LIDOCAINA NO.1 - 3 Y NO. - 3 C/JGA AMP.,2809,,,,,,,,,,,,,,,,,,,
,210,0,0,2016-08-03,LORATADINA 5MG/5ML SOL. C/60ML,1885,,,,,,,,,,,,,,,,,,,
,210,0,0,2016-08-03,PREDNISONA 5MG C/20 TAB.,1490,,,,,,,,,,,,,,,,,,,
,208,0,0,2016-08-03,LOSARTAN + HIDROCLOROTIAZIDA 50MG/12.5MG C/30 COMP.,2620,,,,,,,,,,,,,,,,,,,
,207,0,0,2016-08-03,LEVOTIROXINA SODICA 25MCG C/50 TAB.,343,,,,,,,,,,,,,,,,,,,
,46,0,0,2016-08-03,GLIMEPIRIDA 4MG C/30 TAB.,1420,,,,,,,,,,,,,,,,,,,
,203,0,0,2016-08-03,IPRATROPIO + SALBUTAMOL MONODOSIS 0.5MG/2.5MG NEBUL. C/10 AMP.,187,,,,,,,,,,,,,,,,,,,
,201,0,0,2016-08-03,LAMOTRIGINA 50MG /28 TAB.,1774,,,,,,,,,,,,,,,,,,,
,200,0,0,2016-08-03,BETAMETASONA + CLOTRIMAZOL + GENTAMICINA TUBO CREMA C/25GR,2568,,,,,,,,,,,,,,,,,,,
,193,0,0,2016-08-03,POLIETILENGLICOL FCO. POLVO C/255GR,256,,,,,,,,,,,,,,,,,,,
,191,0,0,2016-08-03,LEVETIRACETAM 500MG C/30 TAB.,469,,,,,,,,,,,,,,,,,,,
,190,0,0,2016-08-03,FLUOXETINA 20MG C/14 CAP.,2570,,,,,,,,,,,,,,,,,,,
,189,0,0,2016-08-03,VITAMINAS PRENATALES C/28 CAP.,1754,,,,,,,,,,,,,,,,,,,
,189,0,0,2016-08-03,KETOPROFENO 100MG C/15 CAP.,463,,,,,,,,,,,,,,,,,,,
,189,0,0,2016-08-03,METOPROLOL 100MG C/20 TAB.,2627,,,,,,,,,,,,,,,,,,,
,189,0,0,2016-08-03,NIMESULIDE 100MG C/10 TAB.,628,,,,,,,,,,,,,,,,,,,
,186,0,0,2016-08-03,AMBROXOL 30MG C/20 COMP.,1450,,,,,,,,,,,,,,,,,,,
,165,0,0,2016-08-03,CLORHIDRATO DE BENCIDAMINA TUBO CREMA C/60GR,57,,,,,,,,,,,,,,,,,,,
,185,0,0,2016-08-03,BETAMETASONA + FOSFATO SODICO 2.71/3MG C/1 JER. PRELLENADA,208,,,,,,,,,,,,,,,,,,,
,182,0,0,2016-08-03,MONTELUKAST SODICO 10MG C/20 COMP.,778,,,,,,,,,,,,,,,,,,,
,181,0,0,2016-08-03,LACTOBACILLUS CASEI VARIEDAD RHAMNOSUS 250MG C/12 CAP.,510,,,,,,,,,,,,,,,,,,,
,181,0,0,2016-08-03,TELMISARTAN 40MG C/28 TAB.,968,,,,,,,,,,,,,,,,,,,
,180,0,0,2016-08-03,BRIMONIDINA + TIMOLOL 0.2%/0.5% SOL. OFT. FCO. C/5ML,225,,,,,,,,,,,,,,,,,,,
,74,0,0,2016-08-03,DEXTROMETORFANO 15MG/5ML JARABE FCO. C/60ML,269,,,,,,,,,,,,,,,,,,,
,177,0,0,2016-08-03,INSULINA LISPRO + PROTAMINA 2X3ML C/300 UNIDADES,420,,,,,,,,,,,,,,,,,,,
,176,0,0,2016-08-03,CITRATO DE SILDENAFIL 50MG C/4 TAB.,2790,,,,,,,,,,,,,,,,,,,
,175,0,0,2016-08-03,METFORMINA 1GR C/30 TAB.,2872,,,,,,,,,,,,,,,,,,,
,105,0,0,2016-08-03,BISOPROLOL 2.5MG C/30 GRAGEAS,206,,,,,,,,,,,,,,,,,,,
,174,0,0,2016-08-03,DIFENHIDRAMINA + GUAIFENESINA 28MG JARABE FCO C/150ML,114,,,,,,,,,,,,,,,,,,,
,173,0,0,2016-08-03,HIDROXIPROPILMETILCELULOSA + DEXTRAN SOL OFT. GOTAS FCO C/15ML,613,,,,,,,,,,,,,,,,,,,
,121,0,0,2016-08-03,LACTULOSA 66.66GR JARABE FCO. C/125ML,1881,,,,,,,,,,,,,,,,,,,
,170,0,0,2016-08-03,CLORHIDRATO DE TRAMADOL 50MG C/10 CAP.,976,,,,,,,,,,,,,,,,,,,
,127,0,0,2016-08-03,DICLOFENACO POTASICO 25MG C/20 GRAGEAS,165,,,,,,,,,,,,,,,,,,,
,168,0,0,2016-08-03,LEVOFLOXACINO 500MG C/7 TAB.,2621,,,,,,,,,,,,,,,,,,,
,168,0,0,2016-08-03,BISOPROLOL 1.25MG C/30 GRAGEAS,252,,,,,,,,,,,,,,,,,,,
,62,0,0,2016-08-03,HIDROCLOROTIAZIDA 25MG C/20 TAB.,81,,,,,,,,,,,,,,,,,,,
,164,0,0,2016-08-03,FEXOFENADINA 6MG/ML SUSP. FCO. C/150ML,2553,,,,,,,,,,,,,,,,,,,
,163,0,0,2016-08-03,ACIDO URSODESOXICOLICO 250MG C/50 CAP.,861,,,,,,,,,,,,,,,,,,,
,161,0,0,2016-08-03,ALENDRONATO SODICO 70MG C/4 TAB.,1945,,,,,,,,,,,,,,,,,,,
,143,0,0,2016-08-03,BENZONATATO 100MG C/20 PERLAS,2880,,,,,,,,,,,,,,,,,,,
,161,0,0,2016-08-03,CICLESONIDA 50MCG SPRAY NASAL C/120 DOSIS,3009,,,,,,,,,,,,,,,,,,,
,77,0,0,2016-08-03,TRIMETOPRIMA + SULFAMETOXAZOL 160MG/800MG C/14 TAB.,1920,,,,,,,,,,,,,,,,,,,
,159,0,0,2016-08-03,DIMETICONA + GUAIAZULENE C/14 SOBRES,2689,,,,,,,,,,,,,,,,,,,
,158,0,0,2016-08-03,AMOXICILINA + ACIDO CLAVULANICO 500MG/125MG C/10 TAB.,1454,,,,,,,,,,,,,,,,,,,
,158,0,0,2016-08-03,NORELGESTROMINA + ETINILESTRADIOL C/3 PARCHES TRASDERMICO,1922,,,,,,,,,,,,,,,,,,,
,158,0,0,2016-08-03,ALUMINIO + MAGNESIO + DIMETICONA SUSP. FCO. C/360ML (MENTA),700,,,,,,,,,,,,,,,,,,,
,154,0,0,2016-08-03,5-MONONITRATO DE ISOSORBIDA 60MG C/20 TAB.,446,,,,,,,,,,,,,,,,,,,
,99,0,0,2016-08-03,CLONAZEPAM 2MG C/30 COMP. (II),2410,,,,,,,,,,,,,,,,,,,
,154,0,0,2016-08-03,TELMISARTAN 80MG C/ 28 TAB.,2575,,,,,,,,,,,,,,,,,,,
,86,0,0,2016-08-03,MEDIAS ELASTICAS MED. COMP DEBAJO DE LA RODILLAS MATERIAL DE CURACION (MEDIANA),1893,,,,,,,,,,,,,,,,,,,
,153,0,0,2016-08-03,FEXOFENADINA + FENILEFRINA 60MG/25MG C/10 TAB.,2579,,,,,,,,,,,,,,,,,,,
,153,0,0,2016-08-03,ESTROGENOS CONJUGADOS DE ORIGEN EQUINO TUBO C/43GR,679,,,,,,,,,,,,,,,,,,,
,151,0,0,2016-08-03,MECLIZINA + PIRIDOXINA 25MG/50MG C/25 TAB.,2635,,,,,,,,,,,,,,,,,,,
,150,0,0,2016-08-03,DESLORATADINA 50MG JARABE FCO C/120ML,69,,,,,,,,,,,,,,,,,,,
,149,0,0,2016-08-03,CETIRIZINA 10MG C/10 TAB.,884,,,,,,,,,,,,,,,,,,,
,148,0,0,2016-08-03,CLINDAMICINA 300MG C/16 CAP.,2680,,,,,,,,,,,,,,,,,,,
,147,0,0,2016-08-03,NEOMICINA + CAOLIN + PECTINA 129MG/280MG C/20 TAB.,459,,,,,,,,,,,,,,,,,,,
,94,0,0,2016-08-03,FOSFATO SODICO DE DEXAMETASONA 4MG/ML C/1 AMP. DE 2ML,2853,,,,,,,,,,,,,,,,,,,
,147,0,0,2016-08-03,NIFEDIPINO 30MG LIB. PROL. C/30 TAB.,2682,,,,,,,,,,,,,,,,,,,
,145,0,0,2016-08-03,TRIAMCINOLONA 56.10MG SUSP. FCO C/16.5ML,610,,,,,,,,,,,,,,,,,,,
,133,0,0,2016-08-03,DICLOXACILINA 500MG C/20 CAP.,1510,,,,,,,,,,,,,,,,,,,
,143,0,0,2016-08-03,TRIMEBUTINA 200MG C/40 TAB.,330,,,,,,,,,,,,,,,,,,,
,142,0,0,2016-08-03,CLORHIDRATO DE TRAMADOL 100MG C/10 TAB.,855,,,,,,,,,,,,,,,,,,,
,141,0,0,2016-08-03,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,,,,,,,,,,,,,,,,,,,
,139,0,0,2016-08-03,BROMURO DE TIOTROPIO 18MCG C/20 CAP.,777,,,,,,,,,,,,,,,,,,,
,139,0,0,2016-08-03,GABAPENTINA 300MG C/30 CAP.,2643,,,,,,,,,,,,,,,,,,,
,138,0,0,2016-08-03,CARBAMAZEPINA 400MG C/20 GRAGEAS,815,,,,,,,,,,,,,,,,,,,
,137,0,0,2016-08-03,POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. ORAL FCO. SPRAY C/20ML,21,,,,,,,,,,,,,,,,,,,
,11,0,0,2016-08-03,METOTREXATO 50/2ML SOL. INY. C/1 AMP.,847,,,,,,,,,,,,,,,,,,,
,135,0,0,2016-08-03,INSULINA LISPRO C/1000 UNIDADES,419,,,,,,,,,,,,,,,,,,,
,108,0,0,2016-08-03,TERBINAFINA 250MG C/28 TAB.,2847,,,,,,,,,,,,,,,,,,,1
,122,0,0,2016-08-03,CLOPIDOGREL 75MG C/28 TAB.,692,,,,,,,,,,,,,,,,,,,
,133,0,0,2016-08-03,VITAMINAS + HIERRO C/36 TAB.,111,,,,,,,,,,,,,,,,,,,
,132,0,0,2016-08-03,CLORURO DE SODIO Y GLICEROL 30ML ADTO. SOL. FCO C/30ML,2754,,,,,,,,,,,,,,,,,,,
,131,0,0,2016-08-03,EBASTINA 20MG C/30 OBLEAS,1053,,,,,,,,,,,,,,,,,,,
,131,0,0,2016-08-03,AMIKACINA 500MG C/1X2ML AMP.,2604,,,,,,,,,,,,,,,,,,,
,131,0,0,2016-08-03,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML,31,,,,,,,,,,,,,,,,,,,
,131,0,0,2016-08-03,FEXOFENADINA 180MG C/10 COMP.,2844,,,,,,,,,,,,,,,,,,,
,130,0,0,2016-08-03,AMANTADINA + CLORFENAMINA + PARACETAMOL FCO. C/60ML,30,,,,,,,,,,,,,,,,,,,
,130,0,0,2016-08-03,NAPROXENO 500MG C/12 TAB.,627,,,,,,,,,,,,,,,,,,,
,109,0,0,2016-08-03,HEMITARTRATO DE ZOLPIDEM 10MG C/30 TAB. (III),632,,,,,,,,,,,,,,,,,,,
,129,0,0,2016-08-03,DIFENIDOL 25MG C/30 TAB.,2659,,,,,,,,,,,,,,,,,,,
,114,0,0,2016-08-03,TRIAZOLAM 0.250MG C/30 TAB.,582,,,,,,,,,,,,,,,,,,,
,126,0,0,2016-08-03,TRINITRATO DE GLICERILO 18MG x PARCHE (5MG/24 Hrs C/7),2143,,,,,,,,,,,,,,,,,,,
,126,0,0,2016-08-03,RAMIPRIL 2.5MG C/16 TAB.,1928,,,,,,,,,,,,,,,,,,,
,125,0,0,2016-08-03,ESPIRONOLACTONA + FUROSEMIDA 50MG/20MG C/16 CAP.,483,,,,,,,,,,,,,,,,,,,
,122,0,0,2016-08-03,IVERMECTINA 6MG C/2 TAB.,442,,,,,,,,,,,,,,,,,,,
,121,0,0,2016-08-03,POLIETILENGLICOL+ PROPILENGLICOL GOTAS OFT. FCO. C/15ML,996,,,,,,,,,,,,,,,,,,,
,121,0,0,2016-08-03,HIERRO ACIDO FOLICO C/30 GRAGEAS,2823,,,,,,,,,,,,,,,,,,,
,120,0,0,2016-08-03,PROPAFENONA 150MG C/30 TAB.,626,,,,,,,,,,,,,,,,,,,
,120,0,0,2016-08-03,FEXOFENADINA 120MG C/10 COMP.,93,,,,,,,,,,,,,,,,,,,
