FORMATO DE REQUISICI…N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-oct-16,,,
,300,,,,PSYLLIUM PLANTAGO C/400GR,674,,,
,300,,,,BEZAFIBRATO 400MG C/10 TAB.,1858,,,
,300,,,,KETOROLACO + TRAMADOL 10MG/25MG C/10 CAP.,2796,,,
,300,,,,LORATADINA + AMBROXOL 5MG/30MG/5ML JBE. C/120ML,376,,,
,300,,,,SENOSIDOS A-B 374MG C/30 TAB.,789,,,
,300,,,,MELOXICAM 7.5MG C/14 TAB.,2623,,,
,300,,,,BROMURO DE BUTILHIOSCINA 10MG C/10 TAB.,131,,,
,290,,,,SULFATO DE HIDROXICLOROQUINA 200MG C/20 TAB.,675,,,
,280,,,,DAPAGLIFOZINA 10MG C/14 TAB.,2952,,,
,250,,,,GLIMEPERIDINA + METFORMINA 1000MG/4MG C/16 TAB.,1868,,,
,250,,,,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341,,,
,250,,,,METFORMINA + VILDAGLIPTINA 50MG/500MG C/30 COMP. RECUBIERTOS,1968,,,
,250,,,,PARGEVERINA + CLONIXINATO DE LISINA 10MG/125MG C/20  COMP.,694,,,
,250,,,,LACTOBACILLUS CASEI VARIEDAD RHAMNOSUS 250MG C/12 CAP.,510,,,
,250,,,,CICLESONIDA 50MCG SPRAY NASAL C/120 DOSIS,3009,,,
,250,,,,FEXOFENADINA 6MG/ML SUSP. FCO. C/150ML,2553,,,
,250,,,,ACIDO FOLICO 5MG C/50 TAB.,52,,,
,250,,,,LORATADINA + BETAMETASONA 10MG/5MG SOL. C/60ML,2876,,,
,250,,,,LORATADINA + BETAMETASONA 5.0MG/0.25MG C/10 TAB.,1440,,,
,250,,,,DICLOFENACO SODICO + B1 + B6 +B12 50MG/50MG/50MG/0.25MG C/30 GRAGEAS,377,,,
,250,,,,SERTRALINA 50MG C/14 TAB. RANURADAS,1497,,,
,250,,,,DICLOFENACO SODICO 100MG LIB. PROL. C/20 GRAGEAS,292,,,
,250,,,,DEXTROMETORFANO 15MG/5ML JARABE FCO. C/60ML,269,,,
,220,,,,ETORICOXIB 120MG C/7 COMP.,941,,,
,220,,,,SAXAGLIPITINA + METFORMINA 2.5MG/1000MG C/28 TAB.,2926,,,
,220,,,,VITAMINAS PRENATALES C/28 CAP.,1754,,,
,220,,,,DEFLAZACORT 6MG C/20 TAB.,2811,,,
,220,,,,VITAMINAS + MINERALES PRENATALES C/30 TAB.,1678,,,
,220,,,,"PENICILINA PROCAINICA + BENCILPENICILINA 800,000UI + 1 AMP. DILUYENTE C/2ML",687,,,
,200,,,,LAMOTRIGINA 50MG /28 TAB.,1774,,,
,200,,,,CEFIXIMA 100MG/5ML SUSP. ORAL C/100ML,1135,,,
,200,,,,ETINILESTRADIOL + DROSPIRENONA 0.03MG/3.0MG C/21 GRAGEAS,899,,,
,200,,,,ACIDO URSODESOXICOLICO 250MG C/50 CAP.,861,,,
,200,,,,PREGABALINA 75MG C/28 CAP.,512,,,
,200,,,,BETAMETASONA + FOSFATO SODICO 2.71/3MG C/1 JER. PRELLENADA,208,,,
,200,,,,METFORMINA 1GR C/30 TAB.,2872,,,
,200,,,,DIMETICONA + GUAIAZULENE C/14 SOBRES,2689,,,
,200,,,,MONTELUKAST SODICO 10MG C/20 COMP.,778,,,
,200,,,,LOSARTAN + HIDROCLOROTIAZIDA 50MG/12.5MG C/30 COMP.,2620,,,
,200,,,,LEVOTIROXINA SODICA 25MCG C/50 TAB.,343,,,
,200,,,,TAMSULOSINA 0.4MG C/20 CAP.,2603,,,
,200,,,,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452,,,
,200,,,,DIFENHIDRAMINA + GUAIFENESINA 28MG JARABE FCO C/150ML,114,,,
,200,,,,LORATADINA + FENILEFRINA 5/30MG C/10 GRAGEAS,2845,,,
,200,,,,CIPROFLOXACINO 500MG C/12 COMP.,2885,,,
,200,,,,CLORHIDRATO DE PAROXETINA 20MG C/10 TAB.,1877,,,
,200,,,,LORATADINA + FENILEFRINA SOL. INF. C/60ML,2618,,,
,200,,,,GLIMEPIRIDA 4MG C/30 TAB.,1420,,,
,200,,,,PARACETAMOL JARABE FCO. C/120ML,2691,,,
,200,,,,POLIVITAMINAS CON MINERALES C/30 CAP.,886,,,
,200,,,,DEXTROMETORFANO + GUAIFENESINA JARABE INFANTIL C/120ML,1886,,,
,200,,,,DEXTROMETORFANO + GUAIFENESINA + FENILEF PED. C/30ML,2815,,,
,200,,,,CIPROFLOXACINO 250MG C/12 TAB,924,,,
,200,,,,NAPROXENO SODICO + PARACETAMOL 275MG/300MG C/10 TAB.,2647,,,
,200,,,,CLONIXINATO DE LISINA 250MG C/10 TAB.,1499,,,
,200,,,,LORATADINA 5MG/5ML SOL. C/60ML,1885,,,
,200,,,,AMBROXOL 30MG C/20 COMP.,1450,,,
,200,,,,LORATADINA 10MG C/20 GRAGEAS,496,,,
,190,,,,LEVETIRACETAM 500MG C/30 TAB.,469,,,
,180,,,,TELMISARTAN 80MG C/ 28 TAB.,2575,,,
,180,,,,TELMISARTAN + HIDROCLOROTIAZIDA 80MG/12.5MG C/28 TAB.,561,,,
,180,,,,BISOPROLOL 1.25MG C/30 GRAGEAS,252,,,
,180,,,,DICLOFENACO POTASICO 25MG C/20 GRAGEAS,165,,,
,170,,,,BRIMONIDINA + TIMOLOL 0.2%/0.5% SOL. OFT. FCO. C/5ML,225,,,
,170,,,,EBASTINA 20MG C/30 OBLEAS,1053,,,
,170,,,,TELMISARTAN 40MG C/28 TAB.,968,,,
,170,,,,MONTELUKAST 4MG C/10 SOBRES,1641,,,
,170,,,,AMANTADINA + CLORFENAMINA + PARACETAMOL FCO. C/60ML,30,,,
,160,,,,HIDROXIPROPILMETILCELULOSA + DEXTRAN SOL OFT. GOTAS FCO C/15ML,613,,,
,160,,,,CLORURO DE SODIO Y GLICEROL 30ML ADTO. SOL. FCO C/30ML,2754,,,
,160,,,,PREDNISONA 5MG C/20 TAB.,1490,,,
,150,,,,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,,,
,150,,,,SAXAGLIPITINA + METFORMINA 5MG/1000MG C/28 TAB.,2929,,,
,150,,,,INSULINA LISPRO + PROTAMINA 2X3ML C/300 UNIDADES,420,,,
,150,,,,SALMETEROL + FLUTICASONA 25MCG/50MCG 12GR FCO. C/120 DOSIS,786,,,
,150,,,,NORELGESTROMINA + ETINILESTRADIOL C/3 PARCHES TRASDERMICO,1922,,,
,150,,,,FEXOFENADINA + FENILEFRINA 60MG/25MG C/10 TAB.,2579,,,
,150,,,,TRINITRATO DE GLICERILO 18MG x PARCHE (5MG/24 Hrs C/7),2143,,,
,150,,,,5-MONONITRATO DE ISOSORBIDA 60MG C/20 TAB.,446,,,
,150,,,,DIACEREINA 50MG C/30 CAP.,226,,,
,150,,,,IPRATROPIO + SALBUTAMOL MONODOSIS 0.5MG/2.5MG NEBUL. C/10 AMP.,187,,,
,150,,,,CINITAPRIDA 1MG C/25 COMP.,2788,,,
,150,,,,GABAPENTINA 300MG C/30 CAP.,2643,,,
,150,,,,INDOMETACINA + METOCARBAMOL + BETAMETASONA 25/215/75MG C/20 TAB.,2660,,,
,150,,,,DESLORATADINA 50MG JARABE FCO C/120ML,69,,,
,150,,,,FEXOFENADINA 180MG C/10 COMP.,2844,,,
,150,,,,CITRATO DE CALCIO + VITAMINA D3 315MG C/60 TAB.,1361,,,
,150,,,,CITRATO DE SILDENAFIL 50MG C/4 TAB.,2790,,,
,150,,,,CLORHIDRATO DE BENCIDAMINA TUBO CREMA C/60GR,57,,,
,150,,,,AMOXICILINA + ACIDO CLAVULANICO 500MG/125MG C/10 TAB.,1454,,,
,150,,,,BROMURO DE PINAVERIO 100MG C/14 TAB.,294,,,
,150,,,,DICLOFENACO POTASICO 0.18MG/100 SUSP. FCO C/120ML,2807,,,
,150,,,,DICLOFENACO POTASICO 15MG SUSP. GOTAS C/20ML,2611,,,
,150,,,,FEXOFENADINA 120MG C/10 COMP.,93,,,
,150,,,,CLORHIDRATO DE TRAMADOL 50MG C/10 CAP.,976,,,
,150,,,,HIDROCLOROTIAZIDA 25MG C/20 TAB.,81,,,
,150,,,,FLUOXETINA 20MG C/14 CAP.,2570,,,
,150,,,,KETOROLACO 30MG SUBLINGUAL C/4 TAB.,1431,,,
,150,,,,LEVOFLOXACINO 500MG C/7 TAB.,2621,,,
,150,,,,CETIRIZINA 10MG C/10 TAB.,884,,,
,150,,,,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML,31,,,
,150,,,,AZITROMICINA 500MG C/3 TAB.,1854,,,
,150,,,,ALUMINIO + MAGNESIO + DIMETICONA SUSP. FCO. C/360ML (MENTA),700,,,
,150,,,,DICLOXACILINA 500MG C/20 CAP.,1510,,,
,150,,,,AMBROXOL GOTAS FCO. C/30ML,23,,,
,150,,,,NIFEDIPINO 30MG LIB. PROL. C/30 TAB.,2682,,,
,150,,,,BETAMETASONA + CLOTRIMAZOL + GENTAMICINA TUBO CREMA C/25GR,2568,,,
,150,,,,NIMESULIDE 100MG C/10 TAB.,628,,,
,150,,,,IBUPROFENO 200MG C/10 TAB.,2802,,,
,150,,,,PARACETAMOL ORAL GOTAS C/15ML,2648,,,
,140,,,,METOPROLOL 100MG C/20 TAB.,2627,,,
,130,,,,TRIAMCINOLONA 56.10MG SUSP. FCO C/16.5ML,610,,,
,130,,,,CARBAMAZEPINA 400MG C/20 GRAGEAS,815,,,
,130,,,,POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. ORAL FCO. SPRAY C/20ML,21,,,
,130,,,,DEXKETOPROFENO TROMETAMOL 25MG C/10 TAB.,1241,,,
,130,,,,MUPIROCINA UNGUENTO 2% TUBO C/15GR,2657,,,
,130,,,,SALBUTAMOL 100MCG SPRAY C/ 200 DOSIS,2696,,,
,120,,,,ESTROGENOS CONJUGADOS DE ORIGEN EQUINO TUBO C/43GR,679,,,
,120,,,,POLIETILENGLICOL+ PROPILENGLICOL GOTAS OFT. FCO. C/15ML,996,,,
,120,,,,BISOPROLOL 2.5MG C/30 GRAGEAS,206,,,
,120,,,,VITAMINAS + HIERRO C/36 TAB.,111,,,
,120,,,,CLONAZEPAM 2MG C/30 COMP. (II),2410,,,
,120,,,,MECLIZINA + PIRIDOXINA 25MG/50MG C/25 TAB.,2635,,,
,120,,,,MECLIZINA + PIRIDOXINA JARABE FCO. C/120ML,124,,,
,120,,,,FOSFATO SODICO DE DEXAMETASONA 4MG/ML C/1 AMP. DE 2ML,2853,,,
,110,,,,TRIAZOLAM 0.250MG C/30 TAB.,582,,,
,110,,,,INSULINA LISPRO C/1000 UNIDADES,419,,,
,110,,,,PROPAFENONA 150MG C/30 TAB.,626,,,
,100,,,,ADALIMUMAB 40MG JER. PRELLENEDA,2016,,,
,100,,,,"INSULINA BASAL ANALOGA DETEMIR 1,500UI C/PLUMAS JER. PRELLENADA",2967,,,
,100,,,,RALOXIFENO 60MG C/28 TAB.,324,,,
,100,,,,HEMITARTRATO DE ZOLPIDEM 10MG C/30 TAB. (III),632,,,
,100,,,,BROMURO DE TIOTROPIO 18MCG C/20 CAP.,777,,,
,100,,,,BRIMONIDINA + TIMOLOL + DORSOLAMINA 20/5/2ML SOL. OFT. C/5ML,1546,,,
,100,,,,ACIDO TIOCTICO 600MG C/30 TAB.,848,,,
,100,,,,PRASUGREL 10MG C/14 TAB.,2900,,,
,100,,,,IPRATROPIO + SALBUTAMOL 20MCG/100MCG SUSP. AEROSOL FCO. C/120 DOSIS,186,,,
,100,,,,ACIDO TIAPROFENICO 300MG C/30 COMP.,772,,,
,100,,,,CEFTIBUTEN 400MG C/10 CAP.,168,,,
,100,,,,SALBUTAMOL 5MG/ML SOL. NEBUL. FCO. C/10ML,866,,,
,100,,,,MEDIAS ELASTICAS MED. COMP DEBAJO DE LA RODILLAS MATERIAL DE CURACION (MEDIANA),1893,,,
,100,,,,CETIRIZINA SOL 10MG/ML C/10ML,871,,,
,100,,,,METOTREXATO 50/2ML SOL. INY. C/1 AMP.,847,,,
,100,,,,ALPRAZOLAM 0.25MG C/30 TAB. (II),2778,,,
,100,,,,TERBINAFINA 250MG C/28 TAB.,2847,,,
,100,,,,METOTREXATO 2.5MG C/50 TAB.,2504,,,
,100,,,,MONTELUKAST SODICO 5MG C/20 COMP.,779,,,
,100,,,,AZITROMICINA 600MG FCO. SUSP. C/15ML,1855,,,
,100,,,,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA Y DICLOFENACO SODICO NO1 - 3 Y NO - 3 C/JGA AMP.,2803,,,
,100,,,,GABAPENTINA 400MG C/15 CAP.,148,,,
,100,,,,LACTULOSA 66.66GR JARABE FCO. C/125ML,1881,,,
,100,,,,CLINDAMICINA 300MG C/16 CAP.,2680,,,
,100,,,,RAMIPRIL 2.5MG C/16 TAB.,1928,,,
,100,,,,ALENDRONATO SODICO 70MG C/4 TAB.,1945,,,
,100,,,,FENITOINA SODICA 100MG C/50 CAP.,2834,,,
,100,,,,CETIRIZINA SOL. FCO. C/50ML,885,,,
,100,,,,TRIMETOPRIMA + SULFAMETOXAZOL 160MG/800MG C/14 TAB.,1920,,,
,100,,,,KETOPROFENO 100MG C/15 CAP.,463,,,
,100,,,,AMOXICILINA 500MG C/12 CAP.,98,,,
,100,,,,OXIMETAZOLINA 50MG SOL. NASAL FCO. NEB. C/20ML,230,,,
,100,,,,KETOCONAZOL TUBO CREMA C/30GR,472,,,
,100,,,,RANITIDINA 150MG C/20 TAB.,2630,,,
,100,,,,RANITIDINA 300MG C/10 COMP.,2663,,,
,100,,,,DILTIAZEM 180MG LIB. PROL. C/12 TAB.,2818,,,
,100,,,,CLORHIDRATO DE BROMHEXINA JARABE C/100ML,1874,,,
,100,,,,HIDROXIDO DE MAGNESIO 8.5GR SUSP. C/180ML,499,,,
,90,,,,CLEBOPRIDA + SIMETICONA C/45 CAP.,2950,,,
,90,,,,NEOMICINA + POLIMIXINA B + DEXAMETASONA SUSP. OFT. FCO. C/5ML,527,,,
,90,,,,TROXERUTINA + CUMARINA 180MG/30MG C/30 GRAGEAS,1075,,,
,90,,,,ERGOTAMINA + ACIDO ACETILSALICILICO + CAFEINA 1MG/400MG/50MG C/36 TAB. (II),773,,,
,90,,,,KETOROLACO + TRAMADOL 10MG/25MG SUBLINGUAL C/4 TAB.,2656,,,
,90,,,,ETOFENAMATO TUBO CREMA C/40GR,112,,,
,80,,,,CLORHIDRATO DE ALFUZOSINA 10MG LIB. PROL. C/28 TAB.,893,,,
,80,,,,AZILSARTAN MEDOXOMILO + CLORTALIDONA 80/12.5 C/28 TAB.,2948,,,
,80,,,,ESPIRONOLACTONA + FUROSEMIDA 50MG/20MG C/16 CAP.,483,,,
,80,,,,TIZANIDINA 2MG C/20 TAB.,787,,,
,80,,,,MONTELUKAST SODICO 4MG C/10 TAB.,1143,,,
,80,,,,TOPIRAMATO 25MG C/28 TAB.,2578,,,
,80,,,,BUDESONIDA 0.125MG/ML NEBUL. C/5 AMP. SOBRE 2ML,1008,,,
,80,,,,FENTERMINA 15MG C/30 TAB.,2964,,,
,80,,,,LEVOFLOXACINO 750MG C/7 TAB.,2737,,,
,80,,,,PRAZOSINA 1MG C/30 COMP.,539,,,
,80,,,,TRIMEBUTINA 200MG C/40 TAB.,330,,,
,80,,,,ACIDO NALIDIXICO + FENAZOPIRIDINA 500MG/50MG C/20 TAB.,2775,,,
,80,,,,HIDROCORTISONA CREMA C/30GR,1523,,,
,80,,,,NAPROXENO 250MG C /30 TAB.,643,,,
,75,,,,BISOPROLOL 5MG C/30 GRAGEAS,1160,,,
,75,,,,ACIDO VALPROICO JARABE 250MG C/120ML,290,,,
,75,,,,OXIMETAZOLINA 25MG SOL. NASAL FCO. NEB. C/20ML,231,,,
,70,,,,LEFLUNOMIDA 20MG C/30 COMP.,34,,,
,70,,,,ACIDO IBANDRONICO 150MG C/1 COMP.,1154,,,
,70,,,,EZETIMIBA 10MG C/28 TAB.,909,,,
,70,,,,MEMANTINA 10MG C/28 TAB.,83,,,
,70,,,,BETAHISTINA 24MG C/30 TAB.,2931,,,
,70,,,,ENOXAPARINA SODICA 40MG/0.4ML C/2 JER.S PRELLENADAS,179,,,
,70,,,,RISPERIDONA 1MG C/20 TAB.,1024,,,
,70,,,,MESALAZINA 500MG C/40 GRAGEAS,1533,,,
,70,,,,AZILSARTAN MEDOXOMILO + CLORTALIDONA 40/12.5 C/28 TAB.,2944,,,
,70,,,,PROGESTERONA 100MG C/30 PERLAS,1492,,,
,70,,,,NEOMICINA + POLIMIXINA B + BACITRACINA UNGUENTO DERMICO TUBO C/30GR,2592,,,
,70,,,,LORAZEPAM 2MG C/40 TAB. (II),575,,,
,70,,,,FLUCONAZOL+ TINIDAZOL 37.5MG/500MG C/4 TAB.,1262,,,
,70,,,,HIDROXIPROPILMETILCELULOSA + DEXTRAN UNGUENTO TUBO C/3.5GR,612,,,
,70,,,,IVERMECTINA 6MG C/2 TAB.,442,,,
,70,,,,OLANZAPINA 10MG C/14 TAB.,1548,,,
,70,,,,TOPIRAMATO 100MG C/20 TAB.,2837,,,
,70,,,,NITROFURANTOINA 100MG C/40 CAP.,546,,,
,70,,,,TIAMINA+PIRIDOXINA + DEXAMETASONA + CIANOCOBALAMINA + LIDOCAINA NO1 - 3 Y NO - 3 C/JGA AMP.,2809,,,
,70,,,,FINASTERIDE 5MG C/30 GRAGEAS,2694,,,
,70,,,,CLORHIDRATO DE TRAMADOL 100MG/ML GOTAS C/10ML,1880,,,
,70,,,,KETOCONAZOL 2/100ML SHAMPOO C/1,840,,,
,70,,,,BENZONATATO 100MG C/20 PERLAS,2880,,,
,70,,,,TIAMAZOL 5MG C/20 TAB.,1098,,,
,70,,,,ATENOLOL 50MG C/28 TAB.,2782,,,
,70,,,,METFORMINA + GLIBENCLAMIDA 500MG/5MG C/60 TAB.,1867,,,
,70,,,,DOMPERIDONA 10MG C/30 TAB.,2649,,,
,70,,,,DIFENIDOL 25MG C/30 TAB.,2659,,,
,70,,,,AMIKACINA 500MG C/1X2ML AMP.,2604,,,
,66,,,,DESOGESTREL 0.075MG C/28 TAB.,2225,,,
,65,,,,RISPERIDONA 2MG C/20 TAB.,2698,,,
,65,,,,L-TARTRATO DE TOLTERODINA 2MG C/28 TAB.,2863,,,
,65,,,,BUDESONIDA + FORMOTEROL 160MG/4.5MCG SPRAY,782,,,
,65,,,,DIMETICONA PANCREATINA 170MG/80MG C/30 GRAGEAS,1094,,,
,60,,,,RIVAROXABAN 10MG C/10 COMP. RECUBIERTOS,2915,,,
,60,,,,VENLAFAXINA 75MG C/20 CAP.,602,,,
,60,,,,CICLOPIROX 8% SOL. C/3ML,1377,,,
,60,,,,NEOMICINA + POLIMIXINA B + DEXAMETASONA UNGUENTO OFTALMICO TUBO C/3.5GR,526,,,
,60,,,,SULFASALAZINA 500MG C/60 GRAGEAS,47,,,
,60,,,,OXIBUTININA 5MG C/30 TAB.,615,,,
,60,,,,HIDROXICINA 10MG C/30 TAB.,102,,,
,60,,,,CLONAZEPAM 2.5MG/1ML GOTAS 10ML (II),468,,,
,60,,,,VITAMINA A + OXIDO ZINC + ACIDO BORICO + ALANTOINA POMADA TUBO C/60GR,418,,,
,60,,,,TIBOLONA 2.5MG C/30 TAB.,2658,,,
,60,,,,MEBENDAZOL+ QUINFAMIDA 300MG/150MG C/2 TAB.,2601,,,
,60,,,,METFORMINA + GLIBENCLAMIDA 500MG/2.5MG C/30 TAB.,2616,,,
,60,,,,DICLOFENACO SODICO 75MG/3ML SOL. INY. ENV. C/2 AMP.,295,,,
,60,,,,ENALAPRIL 5MG C/30 TAB.,1513,,,
,60,,,,GLIBENCLAMIDA 5MG C/50 TAB.,1418,,,
,55,,,,CLORHIDRATO DE DULOXETINA 60MG C/28 CAPS.,210,,,
,55,,,,SALMETEROL + FLUTICASONA 25/125 FCO.,2468,,,
,55,,,,CLOBETASOL 0.050% TUBO C/30GR,227,,,
,55,,,,RIFAXIMINA 200MG C/12 GRAGEAS,1716,,,
,55,,,,AMINOFENAZONA + BUFENINA + DIFENILPIRALI SOL. GOTAS C/25ML,362,,,
,55,,,,ALUMINIO + MAGNESIO + DIMETICONA C/50 TAB. (MENTA),699,,,
,55,,,,NAPROXENO SODICO + PARACETAMOL 125MG/100MG SUSP. FCO.  C/80ML,1912,,,
,55,,,,CLORFENAMINA I 50MG JBE. FCO. C/60ML,1503,,,
,55,,,,METOCLOPRAMIDA 10MG C/20 TAB.,565,,,
,50,,,,ANASTROZOL 1MG C/28 TAB.,35,,,
,50,,,,PIMECROLIMUS 1% CREMA C/30GR,348,,,
,50,,,,DORZOLAMIDA + TIMOLOL GOTAS OFT. FCO. C/5ML,251,,,
,50,,,,CABERGOLINA 0.5MG C/2 TAB.,282,,,
,50,,,,NITROFURANTOINA 50MG C/40 CAP.,523,,,
,50,,,,OXIMETAZOLINA + ALCOHOL POLIVINILICO 0.25MG SOL. OFT. FCO. C/10ML,659,,,
,50,,,,ESOMEPRAZOL 10MG C/28 SOBRES GRANULADOS,2281,,,
,50,,,,ENOXAPARINA SODICA 60MG/0.4ML C/2 JER.S PRELLENADAS,2496,,,
,50,,,,AZILSARTAN MEDOXOMILO 40MG C/28 TAB.,2946,,,
,50,,,,CLARITROMICINA + AMBROXOL 500MG/45MG C/10 TAB.,2731,,,
,50,,,,SALMETEROL + FLUTICASONA 50/100MCG SOL. INHAL C/60 DOSIS,2493,,,
,50,,,,TOBRAMICINA 3MG/1ML SOL. OFT. FCO. C/5ML,2677,,,
,50,,,,MOSAPRIDA 5MG C/30 COMP.,1656,,,
,50,,,,INSULINA HUMANA NPH CARTUCHO 100UI C/2X3ML,421,,,
,50,,,,MINOCICLINA 100MG MICROGRANULOS C/10 CAP. ,552,,,
,50,,,,METRONIDAZOL + MICONAZOL 750MG/200MG C/7 OVULOS VAGINALES,1263,,,
,50,,,,ITOPRIDA 50MG C/30 TAB.,2747,,,
