,,,,FORMATO DE REQUISICI…N,,,,,
,600,2.03,0,31/08/2016,ESTOLATO DE ERITROMICINA 500MG TAB.C/20,,,,"$1,218.00"
,1500,0.8,0,31/08/2016,LORATADINA 10MG GRAGEAS,,,,"$1,200.00"
,600,1.97,0,31/08/2016,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,,"$1,182.00"
,4,268,0,31/08/2016,SALBUTAMOL 5ML SOLUCION,,,,"$1,072.00"
,900,1.13,0,31/08/2016,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,,"$1,017.00"
,2000,0.45,0,31/08/2016,PARACETAMOL 500MG TAB. C/10,,,,$900.00
,600,1.49,0,31/08/2016,DICLOXACILINA 500MG CAP.C/20,,,,$894.00
,10,80,0,31/08/2016,MULTIVITAMINICO ADULTO SOL. INY.,,,,$800.00
,50,15,0,31/08/2016,NEOMICINA + CAOLIN + PECTINA 36.65MG/500MG SUSP.,,,,$750.00
,20,35,0,31/08/2016,ERITROMICINA SUSP. 250MG,,,,$700.00
,25,22,0,31/08/2016,DIMETICONA SUSP. GOTAS 100MG,,,,$550.00
,20,26,0,31/08/2016,TRIMEBUTINA SUSP. JUNIOR DE 2GR/100ML FCO. C/100ML ,,,,$520.00
,100,4.6,0,31/08/2016,DIFENIDOL 40 MG/2ML SOL. INY.,,,,$460.00
,100,3.8,0,31/08/2016,AMOXICILINA C/ ACIDO CLAVULANICO 500 MG C/10,,,,$380.00
,400,0.89,0,31/08/2016,MECLIZINA + PIRIDOXINA 25MG / 50 MG C/20 TAB.,,,,$356.00
,20,17,0,31/08/2016,DIMENHIDRINATO 25MG SUP.,,,,$340.00
,30,9.5,0,31/08/2016,AMPICILINA SUSP. 250MG 60 ML,,,,$285.00
,100,2.76,0,31/08/2016,NAPROXEN/PARACETAMOL SUPOSITORIOS,,,,$276.00
,100,2.7,0,31/08/2016,RANITIDINA 50MG AMP.,,,,$270.00
,40,6,0,31/08/2016,AMIKACINA 500MG/2ML AMP.,,,,$240.00
,30,7.9,0,31/08/2016,CLINDAMICINA 300MG AMP.,,,,$237.00
,600,0.33,0,31/08/2016,DIFENIDOL 25MG TAB.C/30,,,,$198.00
,50,3.75,0,31/08/2016,METAMIZOL 2.5GR/5ML AMP.,,,,$187.50
,200,0.85,0,31/08/2016,IBUPROFENO TABS 400 MG IBUPROFENO,,,,$170.00
,10,16.5,0,31/08/2016,DICLOXACILINA SUSP. 250MG FCO.,,,,$165.00
,10,15,0,31/08/2016,HIDROXIDO DE MAGNESIO LECHE 180 ML,,,,$150.00
,30,4.333333333,0,31/08/2016,GLICEROL 1.380GR SUP.,,,,$130.00
,120,23.29,0,31/08/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL SOLUCION PED. GOTAS 30 ML.,,,,"$2,794.80"
,20,3.8,0,31/08/2016,CLONIXINATO DE LISINA SOL. INY. 100MG/ML,,,,$76.00
,2,17.5,0,31/08/2016,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,,$35.00
,90,0.19,0,31/08/2016,CAPTOPRIL 25MG TAB.C/30,,,,$17.10
,60,0.25,0,31/08/2016,METOCLOPRAMIDA 10 MG C/ 10 TAB,,,,$15.00
,40,0.33,0,31/08/2016,METOPROLOL 100MG TAB.,,,,$13.20
,2,1.28,0,31/08/2016,MELOX PLUS TABS MASTICABLES 0,,,,$2.56
,100,7,0,31/08/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.C/5,,,,700
,100,33.9,0,31/08/2016,DICLOFENACO POTASICO GOTAS PED. 15MG/1ML FCO.,,,,
,20,21,0,31/08/2016,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY C/ 5,,,,
