,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,FECHA:,,,,,,
,4,0,0,2015-01-12,EBASTINA 20MG C/30 OBLEAS,1053,,,,,,
,4,0,0,2015-01-12,TELMISARTAN 80MG C/ 28 TAB.,2575,,,,,,
,4,0,0,2015-01-12,LAMOTRIGINA 50MG /28 TAB.,1774,,,,,,
,8,0,0,2015-01-12,CARBOXIMETILCELULOSA SODICA 0.5% SOL. OFT. GOTAS C/15ML,754,,,,,,
,4,0,0,2015-01-12,BISOPROLOL 2.5MG C/30 GRAGEAS,206,,,,,,
,8,0,0,2015-01-12,GLICERINA + CARBOXIMETILCELULOSA SODICA SOL. OFT. FCO. C/15ML,1376,,,,,,
,200,0,0,2015-01-12,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919,,,,,,
,4,0,0,2015-01-12,TELMISARTAN 40MG C/28 TAB.,968,,,,,,
,4,0,0,2015-01-12,CLARITROMICINA + AMBROXOL 500MG/45MG C/10 TAB.,2731,,,,,,
,4,0,0,2015-01-12,FEXOFENADINA 6MG/ML SUSP. FCO. C/150ML,2553,,,,,,
,4,0,0,2015-01-12,NORELGESTROMINA + ETINILESTRADIOL C/3 PARCHES TRASDERMICO,1922,,,,,,
,4,0,0,2015-01-12,FEXOFENADINA + FENILEFRINA 60MG/25MG C/10 TAB.,2579,,,,,,
,8,0,0,2015-01-12,NUTRICION COMPLETA Y BALANCEADA CON FRUCTOOLISACARIDOS CUALQUIER SABOR LATA EN POLVO C/400GR,2557,,,,,,
,4,0,0,2015-01-12,ETINILESTRADIOL + DROSPIRENONA 0.03MG/3.0MG C/21 GRAGEAS,899,,,,,,
,4,0,0,2015-01-12,BISOPROLOL 1.25MG C/30 GRAGEAS,252,,,,,,
,4,0,0,2015-01-12,ESPIRONOLACTONA + FUROSEMIDA 50MG/20MG C/16 CAP.,483,,,,,,
,4,0,0,2015-01-12,DEXKETOPROFENO TROMETAMOL 25MG C/10 TAB.,1241,,,,,,
,8,0,0,2015-01-12,VITAMINAS PRENATALES C/28 CAP.,1754,,,,,,
,8,0,0,2015-01-12,METFORMINA 750MG LIB. PROL. C/30 TAB.,2711,,,,,,
,8,0,0,2015-01-12,ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR,1550,,,,,,
,4,0,0,2015-01-12,DICLOFENACO POTASICO 25MG C/20 GRAGEAS,165,,,,,,
,4,0,0,2015-01-12,PARGEVERINA + CLONIXINATO DE LISINA 10MG/125MG C/20  COMP.,694,,,,,,
,4,0,0,2015-01-12,POLIETILENGLICOL FCO. POLVO C/255GR,256,,,,,,
,4,0,0,2015-01-12,LEVOTIROXINA SODICA 75MCG C/50 TAB.,938,,,,,,
,4,0,0,2015-01-12,METOTREXATO 50/2ML SOL. INY. C/1 AMP.,847,,,,,,
,10,0,0,2015-01-12,MONTELUKAST SODICO 10MG C/20 COMP.,778,,,,,,
,10,0,0,2015-01-12,HIDROXIPROPILMETILCELULOSA + DEXTRAN SOL OFT. GOTAS FCO C/15ML,613,,,,,,
,10,0,0,2015-01-12,LOSARTAN + HIDROCLOROTIAZIDA 50MG/12.5MG C/30 COMP.,2620,,,,,,
,10,0,0,2015-01-12,CINITAPRIDA 1MG C/25 COMP.,2788,,,,,,
,10,0,0,2015-01-12,DIFENHIDRAMINA + GUAIFENESINA 28MG JARABE FCO C/150ML,114,,,,,,
,10,0,0,2015-01-12,POLIVITAMINAS CON MINERALES C/30 CAP.,886,,,,,,
,10,0,0,2015-01-12,ATORVASTATINA 40MG C/10 TAB.,2763,,,,,,
,10,0,0,2015-01-12,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML,31,,,,,,
,10,0,0,2015-01-12,DESLORATADINA 50MG JARABE FCO C/120ML,69,,,,,,
,10,0,0,2015-01-12,FEXOFENADINA 180MG C/10 COMP.,2844,,,,,,
,10,0,0,2015-01-12,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452,,,,,,
,20,0,0,2015-01-12,SENOSIDOS A-B 374MG C/30 TAB.,789,,,,,,
,10,0,0,2015-01-12,CITRATO DE SILDENAFIL 50MG C/4 TAB.,2790,,,,,,
,10,0,0,2015-01-12,CLORURO DE SODIO Y GLICEROL 30ML ADTO. SOL. FCO C/30ML,2754,,,,,,
,10,0,0,2015-01-12,SERTRALINA 50MG C/14 TAB. RANURADAS,1497,,,,,,
,10,0,0,2015-01-12,LACTULOSA 66.66GR JARABE FCO. C/125ML,1881,,,,,,
,10,0,0,2015-01-12,BROMURO DE PINAVERIO 100MG C/14 TAB.,294,,,,,,
,10,0,0,2015-01-12,CETIRIZINA 10MG C/10 TAB.,884,,,,,,
,10,0,0,2015-01-12,BENZONATATO 100MG C/20 PERLAS,2880,,,,,,
,10,0,0,2015-01-12,SALBUTAMOL 100MCG SPRAY C/ 200 DOSIS,2696,,,,,,
,10,0,0,2015-01-12,CLORHIDRATO DE PAROXETINA 20MG C/10 TAB.,1877,,,,,,
,10,0,0,2015-01-12,FLUOXETINA 20MG C/14 CAP.,2570,,,,,,
,30,0,0,2015-01-12,DICLOFENACO 1.160% GEL C/60GR,371,,,,,,
,10,0,0,2015-01-12,DEXTROMETORFANO + GUAIFENESINA + FENILEF PED. C/30ML,2815,,,,,,
,20,0,0,2015-01-12,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG C/15 TAB.,2664,,,,,,
,10,0,0,2015-01-12,LOSARTAN 50MG C/30 TAB.,2602,,,,,,
,10,0,0,2015-01-12,LORATADINA 5MG/5ML SOL. C/60ML,1885,,,,,,
,10,0,0,2015-01-12,NIMESULIDE 100MG C/10 TAB.,628,,,,,,
,10,0,0,2015-01-12,RANITIDINA 150MG C/20 TAB.,2630,,,,,,
,10,0,0,2015-01-12,RANITIDINA 300MG C/10 COMP.,2663,,,,,,
,10,0,0,2015-01-12,ENALAPRIL 10MG C/30 TAB.,2679,,,,,,
,20,0,0,2015-01-12,AMLODIPINO 5MG C/10 TAB.,2593,,,,,,
,1,0,0,2015-01-12,LIOFILIZADO ESTANDARIZADO DE LISADO BACTERIANOS INFANTIL 3.5MGS. C/10 CAP.,135,,,,,,
,30,0,0,2015-01-12,ENOXAPARINA SODICA 40MG/0.4ML C/2 JER.S PRELLENADAS,179,,,,,,
,2,0,0,2015-01-12,EMTRICITABINA + TENOFOVIR DISOPROXIL FUMARATO C/30 TAB.,854,,,,,,
,2,0,0,2015-01-12,FLUDROCORTISONA 0.1MG C/100 TAB.,1316,,,,,,
,2,0,0,2015-01-12,OMALIZUMAB 150MG SOL. INY. C/1 AMP.,1366,,,,,,
,5,0,0,2015-01-12,VERAPAMILO + TRANDOLAPRIL 180MG/2MG LIB. PROL. C/15 TAB.,1567,,,,,,
,5,0,0,2015-01-12,GLICOPIRRONIO + INDACATEROL C/30 CAP. INHALACION,3017,,,,,,
,1,0,0,2015-01-12,FORMOTEROL + MOMETASONA 100/5 FCO. C/120 DOSIS,3022,,,,,,
,6,0,0,2015-01-12,"INTERFERON BETA-1a 30MCG (6,000,000 UI) C/1 JER. PRELLENADA ",68,,,,,,
