,,isssteleon,ave,farm ave.,lote,codebar,id
2915,RIVAROXABAN 10MG C/10 COMP. RECUBIERTOS,-4,5,0,,,
2919,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,-480,0,1,,,
292,DICLOFENACO SODICO 100MG LIB. PROL. C/20 GRAGEAS,-8,0,27,,,
2924, VILDAGLIPTINA + METFORMINA 50MG/850MG C/60 COMP.,-1,0,0,,,
2953,DEXLANSOPRAZOL 30MG C/14 CAP.,-7,0,0,,,
2969,LIRAGLUTIDE 0.6MG FLEXPEN,-1,0,0,,,
2991,LENALIDOMIDA 10MG CAP.,-1,0,0,,,
3018, FORMOTEROL + BECLOMETASONA FCO. SPRAY C/120 DOSIS,-2,0,0,,,
3023,LINACLOTIDE .29MG C/30 CAP.,-1,0,0,,,
34,LEFLUNOMIDA 20MG C/30 COMP.,-6,0,8,,,
35,ANASTROZOL 1MG C/28 TAB.,-5,11,0,,,
421,INSULINA HUMANA NPH CARTUCHO 100UI C/2X3ML,-25,0,1,,,
425,HIERRO DEXTRAN 100MG/2ML SOL. INY. C/3 AMP.,-1,0,4,,,
46,BRINZOLAMIDA 1% SUSP. OFT. FCO. C/5ML,-1,0,0,,,
463,KETOPROFENO 100MG C/15 CAP.,-1,0,2,,,
52,ACIDO FOLICO 5MG C/50 TAB.,-28,0,46,,,
575,LORAZEPAM 2MG C/40 TAB. (II),-1,0,0,,,
623, POLIETILENGLICOL + BICAR. SODICO + CL SODIO + CL DE POTASIO POLVO 109.6GR C/4 SOBRES,-4,0,1,,,
624,HIDROCORTISONA 1GR/100ML FCO. LOCION C/120ML,-1,0,0,,,
778,MONTELUKAST SODICO 10MG C/20 COMP.,-1,0,7,,,
783,PROPRANOLOL 40MG C/30 TAB.,-1,0,0,,,
81,HIDROCLOROTIAZIDA 25MG C/20 TAB.,-2,0,0,,,
847,METOTREXATO 50/2ML SOL. INY. C/1 AMP.,-1,0,4,,,
976,CLORHIDRATO DE TRAMADOL 50MG C/10 CAP.,-1,0,11,,,
